"id","family_name","first_names","id:1","club"
7,Adams,William (1),2,Athenaeum Club
22,Alcock,Rutherford,2,Athenaeum Club
33,Amhurst,William Amhurst Tyssen,2,Athenaeum Club
33,Amhurst,William Amhurst Tyssen,3,Marlborough Club
33,Amhurst,William Amhurst Tyssen,4,Carlton Club
44,Arbuthnot,William,5,Oriental Club
46,Arden,Richard Edward,6,National Club
46,Arden,Richard Edward,7,Junior Athenaeum Club
51,Armstrong,William,2,Athenaeum Club
60,Ashurst,William Henry,8,Reform Club
60,Ashurst,William Henry,9,Arts Club
78,Babington,Charles Cardale,2,Athenaeum Club
84,Bagehot,Walter ('Badgett'),2,Athenaeum Club
90,Bain,James,10,Junior Carlton Club
95,Baker,Samuel C,2,Athenaeum Club
98,Balfour,George,2,Athenaeum Club
113,Barrett,Thomas Squire,11,New Athenaeum Club
117,Barton,Alfred,5,Oriental Club
139,Beavan,Hugh J C,12,Grafton Club
139,Beavan,Hugh J C,13,Cannibal Club
139,Beavan,Hugh J C,10,Junior Carlton Club
154,Bell,William Abraham,15,New University Club
155,Bellamy,Edward,16,Nationalist Club
155,Bellamy,Edward,13,Cannibal Club
156,Bellew,Henry Walter,2,Athenaeum Club
161,Bendyshe,Thomas,13,Cannibal Club
163,Bennett,Charles,17,Thatched House Club
165,Bennett,John,2,Athenaeum Club
187,Black,Andrew,18,Glasgow Art Club
194,Blakely,T A,19,Army & Navy Club
194,Blakely,T A,20,Royal Victoria Yacht Club
196,Blanchard,Sydney L,21,Arundel Club
210,Bonaparte,Louis Lucien,2,Athenaeum Club
215,Bonham,George,2,Athenaeum Club
217,Bonney,T  George,2,Athenaeum Club
221,Booth,Charles,2,Athenaeum Club
225,Botfield,Beriah,2,Athenaeum Club
232,Bouverie-Pusey,Sydney Edward Bouverie,2,Athenaeum Club
237,Bowring,John,2,Athenaeum Club
239,Boxall,William,2,Athenaeum Club
243,Brabrook,Edward William,2,Athenaeum Club
243,Brabrook,Edward William,22,Colquehoun Club
245,Bracebridge,Charles Holt,2,Athenaeum Club
259,Brebner,James,23,Spalding Club
265,Briggs,John,2,Athenaeum Club
265,Briggs,John,5,Oriental Club
266,Brine,Lindsay,19,Army & Navy Club
266,Brine,Lindsay,2,Athenaeum Club
270,Brodhurst,Bernard Edward,2,Athenaeum Club
271,Brodie,Benjamin Collins,2,Athenaeum Club
274,Brodie,P B,24,Woolhope Naturalists Field Club
277,Brooke,James,2,Athenaeum Club
291,Brown-Sequard,x,25,Sugar Club
301,Buckley,W E,2,Athenaeum Club
304,Buller,James Wentworth,2,Athenaeum Club
318,Busk,George,2,Athenaeum Club
328,Cabbell,Benjamin Bond,2,Athenaeum Club
336,Cameron,Charles Duncan,13,Cannibal Club
339,Campbell,George (1),2,Athenaeum Club
362,Cartwright,Samuel,2,Athenaeum Club
373,Cavendish,Richard,2,Athenaeum Club
375,Chadwick,Edwin,2,Athenaeum Club
377,Challis,John Henry,8,Reform Club
379,Chambers,Charles Harcourt,2,Athenaeum Club
385,Charlesworth,Edward,26,Whittington Club
389,Chatfield,Frederick,2,Athenaeum Club
407,Clarendon,x,2,Athenaeum Club
410,Clark,James,2,Athenaeum Club
