"id","Name","gender_id","birth_year","death_year","data_source_id","religion_id"
1,Arthur William A Beckett,1,1844,1909,1,NA
3,Andrew Mercer Adam,1,NA,NA,1,NA
4,H R Adam,1,NA,NA,1,NA
5,William Adam,1,NA,NA,1,NA
6,Henry John Adams,1,NA,NA,1,NA
7,William (1) Adams,1,NA,NA,1,NA
8,William (2) Adams,1,1820,1900,1,NA
11,William Adlam,1,NA,NA,1,NA
12,Louis Agassiz,1,1807,1873,1,NA
13,Anastasius Agathides,1,1805,1881,1,NA
14,Augustine Aglio,1,1777,1857,1,NA
15,Joseph Agnew,1,NA,NA,1,NA
16,William Francis Harrison Ainsworth,1,1807,1896,1,NA
17,William Baird Airston,1,NA,NA,1,NA
18,Alexander Muirhead Aitken,1,NA,NA,1,NA
19,Thomas Aitken,1,NA,NA,1,NA
22,Rutherford Alcock,1,1809,1897,1,NA
23,William Aldam,1,1813,1890,1,1
25,Frederick W Aley,1,NA,NA,1,NA
26,J  McGrigor Allan,1,NA,NA,1,NA
27,S  Stafford Allen,1,1840,1870,1,1
28,William Allen,1,NA,NA,1,NA
29,George Allin,1,NA,NA,1,NA
30,Charles Hamond Alpe,1,1837,1882,1,NA
31,Crewe Alston,1,1828,1901,1,NA
33,William Amhurst Tyssen Amhurst,1,1835,1909,1,NA
34,George Amner,1,1873,1901,1,NA
35,Edward C Anderson,1,NA,NA,1,NA
36,John Anderson,1,NA,NA,1,NA
37,Joseph Anderson,1,1832,1916,1,NA
38,W  P Andrew,1,NA,NA,1,NA
39,x Andrews,1,NA,NA,1,NA
40,Matthew John Anketell,1,NA,NA,1,NA
41,Thomas Chisholm Anstey,1,1816,1873,1,NA
42,x Antrim,1,1851,1918,1,NA
43,William Appleyard,1,NA,NA,1,NA
44,William Arbuthnot,1,NA,NA,1,NA
45,Frederick Scott Archer,1,1813,1857,1,NA
46,Richard Edward Arden,1,1804,1894,1,NA
47,Alexander Aria,1,NA,NA,1,NA
48,William Armitage,1,1815,1903,1,NA
49,T  B Armitstead,1,NA,NA,1,NA
51,William Armstrong,1,1810,1900,1,NA
52,Edward Arnold,1,NA,1872,1,NA
53,Richard Arnold,1,1808,1876,1,NA
54,William Arthur,1,1819,1901,1,NA
55,Rodolph Arundell,1,1837,1877,1,NA
56,Isidore Ascher,1,1835,1933,1,NA
57,Charles Frederick Ash,1,NA,NA,1,NA
58,James Ashbury,1,1834,1895,1,NA
59,John Ashbury,1,NA,NA,1,NA
60,William Henry Ashurst,1,1819,1879,1,NA
61,Henry Ashworth,1,1794,1880,1,NA
62,William Aspull,1,NA,NA,1,NA
64,John Atcherley,1,NA,NA,1,NA
65,Charles Atkins,1,NA,NA,1,NA
66,Charles A Atkins,1,NA,NA,1,NA
67,E Atkinson,1,NA,NA,1,NA
68,George Atkinson,1,NA,NA,1,NA
72,Alfred Aubert,1,NA,NA,1,NA
73,Alois Auer,1,1813,1869,1,NA
74,Arthur Daniel Aulton,1,1828,1889,1,NA
78,Charles Cardale Babington,1,1808,1895,1,NA
79,William Babington,1,NA,NA,1,NA
80,Edward Backhouse,1,1808,1879,1,1
81,James (1) Backhouse,1,1794,1869,1,1
82,Carl Ernst von Baer,1,1792,1876,1,NA
83,John Bagehot,1,NA,NA,1,NA
84,Walter ('Badgett') Bagehot,1,1826,1877,1,NA
85,Charles Henry Bagnall,1,NA,1869,1,NA
86,Charles Stuart Bailey,1,1819,1883,1,NA
87,John Bailey,1,NA,NA,1,NA
88,John Bailey (2),1,NA,NA,1,NA
90,James Bain,1,1818,1898,1,NA
91,Thomas Baines,1,1820,1875,1,NA
92,Benson Baker,1,NA,NA,1,NA
93,J P Baker,1,NA,NA,1,NA
94,John Baker,1,1813,1872,1,NA
95,Samuel C Baker,1,1821,1893,1,NA
96,William Bailey Baker,1,1828,1865,1,NA
