"id","family_name","first_names","id:1","society"
8,Adams,William (2),2,Royal College of Surgeons
8,Adams,William (2),3,Pathological Society of London
8,Adams,William (2),5,Medical Society of London
8,Adams,William (2),6,Medical and Chirurgical Society of London
11,Adlam,William,7,Somersetshire Archaeological and Natural History Society
16,Ainsworth,William Francis Harrison,8,Royal Geographical Society
16,Ainsworth,William Francis Harrison,9,Society of Antiquaries
16,Ainsworth,William Francis Harrison,10,Syro Egyptian Society
16,Ainsworth,William Francis Harrison,11,Geological Society
17,Airston,William Baird,2,Royal College of Surgeons
19,Aitken,Thomas,12,Anthropological Society of Paris
19,Aitken,Thomas,13,Medico Psychological Association
25,Aley,Frederick W,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
33,Amhurst,William Amhurst Tyssen,9,Society of Antiquaries
33,Amhurst,William Amhurst Tyssen,15,Royal Society of Literature
35,Anderson,Edward C,2,Royal College of Surgeons
36,Anderson,John,16,Linnean Society of London
37,Anderson,Joseph,17,Society of Antiquaries of Scotland
46,Arden,Richard Edward,8,Royal Geographical Society
46,Arden,Richard Edward,11,Geological Society
46,Arden,Richard Edward,18,Ornithological Society
46,Arden,Richard Edward,19,Acclimatisation Society
48,Armitage,William,20,Association for the Protection of Homeopathic Students and Practitioners
51,Armstrong,William,21,Royal Society
52,Arnold,Edward,22,Phrenological Society
52,Arnold,Edward,23,Chemical Society
53,Arnold,Richard,24,American Medical Association
53,Arnold,Richard,25,Georgia Historical Society
54,Arthur,William,26,Royal Asiatic Society
61,Ashworth,Henry,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
64,Atcherley,John,27,Royal College of Physicians
68,Atkinson,George,28,Surrey Archaeological Society
78,Babington,Charles Cardale,21,Royal Society
78,Babington,Charles Cardale,9,Society of Antiquaries
78,Babington,Charles Cardale,16,Linnean Society of London
78,Babington,Charles Cardale,11,Geological Society
78,Babington,Charles Cardale,30,Cambridge Philosophical Society
78,Babington,Charles Cardale,7,Somersetshire Archaeological and Natural History Society
79,Babington,William,8,Royal Geographical Society
82,Baer,Carl Ernst von,12,Anthropological Society of Paris
82,Baer,Carl Ernst von,31,Russian Geographical Society
82,Baer,Carl Ernst von,32,Russian Entomological Society
92,Baker,Benson,27,Royal College of Physicians
92,Baker,Benson,33,Royal College of Surgeons Edinburgh
93,Baker,J P,2,Royal College of Surgeons
95,Baker,Samuel C,21,Royal Society
95,Baker,Samuel C,8,Royal Geographical Society
98,Balfour,George,8,Royal Geographical Society
101,Barber,Henry,27,Royal College of Physicians
108,Barnes,John  Wheeldon,9,Society of Antiquaries
111,Barr,Joseph Henry,2,Royal College of Surgeons
112,Barr,William Roby,11,Geological Society
113,Barrett,Thomas Squire,34,Zoological Society
113,Barrett,Thomas Squire,35,Statistical Society
113,Barrett,Thomas Squire,36,Royal Historical Society
113,Barrett,Thomas Squire,37,Royal Society of British Sculptors
114,Barrington,George William,8,Royal Geographical Society
114,Barrington,George William,11,Geological Society
116,Bartlett,William Edward,9,Society of Antiquaries
117,Barton,Alfred,8,Royal Geographical Society
118,Bartrum,John Stothert,2,Royal College of Surgeons
126,Battye,William,2,Royal College of Surgeons
126,Battye,William,39,Royal Horticultural Society of London
127,Baverstock,Edwin Henry,15,Royal Society of Literature
128,Baxter,James Bainbridge,2,Royal College of Surgeons
128,Baxter,James Bainbridge,9,Society of Antiquaries
130,Beal,Samuel,26,Royal Asiatic Society
132,Beale,Lionel John,2,Royal College of Surgeons
132,Beale,Lionel John,15,Royal Society of Literature
134,Beardsley,Amos,16,Linnean Society of London
134,Beardsley,Amos,11,Geological Society
136,Beattie,William,40,British Archaeological Society
136,Beattie,William,41,Historical Institute
136,Beattie,William,42,Biblical Archaeological Society
136,Beattie,William,43,Institut d'Afrique a Paris
136,Beattie,William,27,Royal College of Physicians
138,Beaumont,Richard,21,Royal Society
139,Beavan,Hugh J C,8,Royal Geographical Society
144,Beechey,x,21,Royal Society
145,Beigel,Hermann,27,Royal College of Physicians
145,Beigel,Hermann,48,Imperial Academy of Dresden
151,Bell,James,49,Royal Institute of British Architects
152,Bell (2),John,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
155,Bellamy,Edward,8,Royal Geographical Society
156,Bellew,Henry Walter,2,Royal College of Surgeons
165,Bennett,John,26,Royal Asiatic Society
173,Best,x,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
178,Bilderbeck,John,2,Royal College of Surgeons
185,Bischoff,James,34,Zoological Society
185,Bischoff,James,51,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
187,Black,Andrew,52,Royal Scottish Society of Painters in Water Colours
191,Blackstone,Alan Cornwall,8,Royal Geographical Society
194,Blakely,T A,21,Royal Society
194,Blakely,T A,55,British Association
194,Blakely,T A,56,Royal Irish Academy
194,Blakely,T A,57,Society of Engineers
194,Blakely,T A,58,Royal United Service Institution
195,Blanc,Henry Jules,33,Royal College of Surgeons Edinburgh
201,Boase,Henry S,21,Royal Society
201,Boase,Henry S,11,Geological Society
203,Bogdanoff,Anatoly Petrovich,59,Anthropological Society of Moscow
205,Bohn,Henry George,8,Royal Geographical Society
205,Bohn,Henry George,60,Royal Astronomical Society
205,Bohn,Henry George,15,Royal Society of Literature
205,Bohn,Henry George,16,Linnean Society of London
209,Bollaert,William,8,Royal Geographical Society
209,Bollaert,William,61,"Ethnological Society, New York"
213,Bond,Charles Radcliffe,2,Royal College of Surgeons
216,Bonnerjee,W C,11,Geological Society
217,Bonney,T  George,11,Geological Society
217,Bonney,T  George,21,Royal Society
219,Bonsor,James,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
220,Bonwick,James,8,Royal Geographical Society
222,Boreham,W W,60,Royal Astronomical Society
223,Borthwick,Cunningham,9,Society of Antiquaries
224,Bosworth,Joseph,21,Royal Society
224,Bosworth,Joseph,62,Society of Antiquaries of Literature
224,Bosworth,Joseph,63,Royal Institute of the Netherlands
225,Botfield,Beriah,21,Royal Society
225,Botfield,Beriah,9,Society of Antiquaries
225,Botfield,Beriah,64,British Archaeological Association
225,Botfield,Beriah,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
226,Boucher de Crevecoeur de Perthes,x,12,Anthropological Society of Paris
226,Boucher de Crevecoeur de Perthes,x,11,Geological Society
228,Boulton,George,51,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
232,Bouverie-Pusey,Sydney Edward Bouverie,8,Royal Geographical Society
232,Bouverie-Pusey,Sydney Edward Bouverie,65,Folklore Society
236,Bowman,Thomas William,15,Royal Society of Literature
237,Bowring,John,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
241,Boyce,William Binnington,8,Royal Geographical Society
241,Boyce,William Binnington,66,Weslyan Mission Society
243,Brabrook,Edward William,12,Anthropological Society of Paris
243,Brabrook,Edward William,9,Society of Antiquaries
243,Brabrook,Edward William,67,Royal Society of Northern Antiquities Copenhagen
243,Brabrook,Edward William,65,Folklore Society
243,Brabrook,Edward William,68,London and Middlesex Archaeological Association
243,Brabrook,Edward William,35,Statistical Society
243,Brabrook,Edward William,15,Royal Society of Literature
244,Braby,Frederick,23,Chemical Society
244,Braby,Frederick,11,Geological Society
244,Braby,Frederick,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
249,Brady,Antonio,11,Geological Society
249,Brady,Antonio,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
252,Bragge,William,9,Society of Antiquaries
252,Bragge,William,8,Royal Geographical Society
252,Bragge,William,11,Geological Society
259,Brebner,James,71,Aberdeen Horticultural Society
261,Brett,Charles,8,Royal Geographical Society
266,Brine,Lindsay,8,Royal Geographical Society
270,Brodhurst,Bernard Edward,2,Royal College of Surgeons
271,Brodie,Benjamin Collins,23,Chemical Society
272,Brodie,David,33,Royal College of Surgeons Edinburgh
274,Brodie,P B,16,Linnean Society of London
274,Brodie,P B,11,Geological Society
281,Brougham,x,21,Royal Society
281,Brougham,x,72,Society for the Diffusion of Useful Knowledge
282,Brown,Charles Cornish,2,Royal College of Surgeons
284,Brown,Edwin,11,Geological Society
284,Brown,Edwin,73,Midland Natural History Society
284,Brown,Edwin,74,Entomological Society of London
284,Brown,Edwin,8,Royal Geographical Society
284,Brown,Edwin,75,Botanical Society of London
285,Brown,Edwin Ormond,23,Chemical Society
287,Brown,James Roberts,8,Royal Geographical Society
287,Brown,James Roberts,76,Royal Society of Northern Antiquities
287,Brown,James Roberts,77,Ex Libris Society
289,Brown,John Allen,8,Royal Geographical Society
289,Brown,John Allen,11,Geological Society
289,Brown,John Allen,78,Royal Scottish Geographical Society
291,Brown-Sequard,x,21,Royal Society
293,Browne,Thomas Henry,11,Geological Society
297,Bryant,George,74,Entomological Society of London
302,Buckman,James,16,Linnean Society of London
302,Buckman,James,11,Geological Society
303,Bull,William,16,Linnean Society of London
303,Bull,William,11,Geological Society
308,Burden,Henry,2,Royal College of Surgeons
310,Burgholzhausen,August Friedrich Marschall von,11,Geological Society
318,Busk,George,2,Royal College of Surgeons
318,Busk,George,21,Royal Society
318,Busk,George,16,Linnean Society of London
318,Busk,George,11,Geological Society
318,Busk,George,34,Zoological Society
322,Buxton,Charles,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
323,Byerley,Isaac,2,Royal College of Surgeons
323,Byerley,Isaac,16,Linnean Society of London
328,Cabbell,Benjamin Bond,21,Royal Society
328,Cabbell,Benjamin Bond,9,Society of Antiquaries
328,Cabbell,Benjamin Bond,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
331,Callaway,Thomas,2,Royal College of Surgeons
331,Callaway,Thomas,6,Medical and Chirurgical Society of London
335,Calvert,George,2,Royal College of Surgeons
336,Cameron,Charles Duncan,26,Royal Asiatic Society
336,Cameron,Charles Duncan,8,Royal Geographical Society
337,Campbell,Archibald,16,Linnean Society of London
343,Campbell,James,8,Royal Geographical Society
352,Caplin,Jean-Francois,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
359,Carrington,Robert,8,Royal Geographical Society
362,Cartwright,Samuel,16,Linnean Society of London
362,Cartwright,Samuel,11,Geological Society
362,Cartwright,Samuel,21,Royal Society
362,Cartwright,Samuel,6,Medical and Chirurgical Society of London
362,Cartwright,Samuel,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
363,Carulla,Facundo,82,Manchester Scientific Student's Association
363,Carulla,Facundo,53,Sociedad Antropologica Espanola
372,Cavafy,John,27,Royal College of Physicians
372,Cavafy,John,6,Medical and Chirurgical Society of London
375,Chadwick,Edwin,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
377,Challis,John Henry,34,Zoological Society
379,Chambers,Charles Harcourt,8,Royal Geographical Society
383,Chance,Frank,27,Royal College of Physicians
383,Chance,Frank,6,Medical and Chirurgical Society of London
383,Chance,Frank,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
385,Charlesworth,Edward,11,Geological Society
393,Child,William Dinsdale,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
397,Chipperfield,William Nathan,2,Royal College of Surgeons
398,Chittenden,P H,2,Royal College of Surgeons
401,Chowne,William Dingle,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
403,Christy,Henry,11,Geological Society
403,Christy,Henry,9,Society of Antiquaries
403,Christy,Henry,16,Linnean Society of London
