"Source","Target","first_year","last_year"
Arthur William A Beckett,ASL,,
Arthur William A Beckett,London,,
Arthur William A Beckett,literary,,
Andrew Mercer Adam,ASL,,
Andrew Mercer Adam,armed services,,
Andrew Mercer Adam,country,,
Andrew Mercer Adam,medical,,
H R Adam,AI,,
H R Adam,ASL,,
H R Adam,Africa,,
William Adam,ESL,,
William Adam,political,,
Henry John Adams,ASL,,
Henry John Adams,London,,
William (1) Adams,Athenaeum Club,,
William (1) Adams,ESL,,
William (2) Adams,AI,,
William (2) Adams,ESL,,
William (2) Adams,London,,
William (2) Adams,Medical Society of London,,
William (2) Adams,Medical and Chirurgical Society of London,,
William (2) Adams,Pathological Society of London,,
William (2) Adams,Royal College of Surgeons,,
William (2) Adams,medical,,
William Adlam,ASL,,
William Adlam,Somersetshire Archaeological and Natural History Society,,
William Adlam,country,,
Louis Agassiz,AI,,
Louis Agassiz,ASL,,
Louis Agassiz,America,,
Louis Agassiz,ESL,,
Louis Agassiz,academic,,
Louis Agassiz,biologist,,
Louis Agassiz,geologist,,
Anastasius Agathides,ASL,,
Anastasius Agathides,London,,
Anastasius Agathides,academic,,
Augustine Aglio,ESL,,
Augustine Aglio,artist,,
Joseph Agnew,ASL,,
Joseph Agnew,Scotland,,
Joseph Agnew,medical,,
William Francis Harrison Ainsworth,ESL,,
William Francis Harrison Ainsworth,Geological Society,,
William Francis Harrison Ainsworth,London,,
William Francis Harrison Ainsworth,Royal Geographical Society,,
William Francis Harrison Ainsworth,Society of Antiquaries,,
William Francis Harrison Ainsworth,Syro Egyptian Society,,
William Francis Harrison Ainsworth,academic,,
William Francis Harrison Ainsworth,medical,,
William Baird Airston,ASL,,
William Baird Airston,Royal College of Surgeons,,
William Baird Airston,Scotland,,
William Baird Airston,medical,,
Alexander Muirhead Aitken,AI,,
Alexander Muirhead Aitken,ESL,,
Alexander Muirhead Aitken,India,,
Alexander Muirhead Aitken,London,,
Alexander Muirhead Aitken,legal,,
Thomas Aitken,ASL,,
Thomas Aitken,Anthropological Society of Paris,,
Thomas Aitken,Medico Psychological Association,,
Thomas Aitken,Scotland,,
Thomas Aitken,medical,,
Rutherford Alcock,Athenaeum Club,,
Rutherford Alcock,China,,
Rutherford Alcock,ESL,,
Rutherford Alcock,Japan,,
Rutherford Alcock,diplomacy,,
William Aldam,APS,,
William Aldam,ESL,,
William Aldam,Quaker,,
William Aldam,country,,
William Aldam,political,,
Frederick W Aley,ASL,,
Frederick W Aley,London,,
Frederick W Aley,"Society for the Encouragement of Arts, Manufactures and Commerce",,
J  McGrigor Allan,ASL,,
J  McGrigor Allan,London,,
J  McGrigor Allan,literary,,
S  Stafford Allen,APS,,
S  Stafford Allen,ASL,,
S  Stafford Allen,Egypt,,
S  Stafford Allen,London,,
S  Stafford Allen,Quaker,,
S  Stafford Allen,civil engineer,,
William Allen,APS,,
William Allen,ESL,,
William Allen,armed services,,
George Allin,ASL,,
George Allin,London,,
George Allin,country,,
Charles Hamond Alpe,ASL,,
Charles Hamond Alpe,London,,
Crewe Alston,ASL,,
Crewe Alston,London,,
William Amhurst Tyssen Amhurst,AI,,
William Amhurst Tyssen Amhurst,Athenaeum Club,,
William Amhurst Tyssen Amhurst,Carlton Club,,
William Amhurst Tyssen Amhurst,ESL,,
William Amhurst Tyssen Amhurst,Marlborough Club,,
William Amhurst Tyssen Amhurst,Royal Society of Literature,,
William Amhurst Tyssen Amhurst,Society of Antiquaries,,
William Amhurst Tyssen Amhurst,collector,,
William Amhurst Tyssen Amhurst,country,,
William Amhurst Tyssen Amhurst,political,,
George Amner,ASL,,
George Amner,business,,
George Amner,country,,
Edward C Anderson,ASL,,
Edward C Anderson,London,,
Edward C Anderson,Royal College of Surgeons,,
Edward C Anderson,medical,,
John Anderson,ASL,,
John Anderson,Linnean Society of London,,
John Anderson,armed services,,
John Anderson,country,,
John Anderson,medical,,
Joseph Anderson,ASL,,
Joseph Anderson,Scotland,,
Joseph Anderson,Society of Antiquaries of Scotland,,
Joseph Anderson,archaeologist,,
Joseph Anderson,editor,,
Joseph Anderson,educator,,
Joseph Anderson,museum work,,
W  P Andrew,ESL,,
x Andrews,ESL,,
Matthew John Anketell,ESL,,
Matthew John Anketell,London,,
Thomas Chisholm Anstey,ESL,,
Thomas Chisholm Anstey,Hong Kong,,
Thomas Chisholm Anstey,London,,
Thomas Chisholm Anstey,legal,,
Thomas Chisholm Anstey,political,,
x Antrim,AI,,
x Antrim,ESL,,
x Antrim,Ireland,,
x Antrim,aristocracy,,
x Antrim,country,,
William Appleyard,AI,,
William Appleyard,ESL,,
William Appleyard,church,,
William Appleyard,country,,
William Arbuthnot,AI,,
William Arbuthnot,ASL,,
William Arbuthnot,London,,
William Arbuthnot,Oriental Club,,
Frederick Scott Archer,ESL,,
Frederick Scott Archer,country,,
Frederick Scott Archer,inventor,,
Frederick Scott Archer,photographer,,
Richard Edward Arden,ASL,,
Richard Edward Arden,Acclimatisation Society,,
Richard Edward Arden,Geological Society,,
Richard Edward Arden,Junior Athenaeum Club,,
Richard Edward Arden,National Club,,
Richard Edward Arden,Ornithological Society,,
Richard Edward Arden,Royal Geographical Society,,
Richard Edward Arden,country,,
Richard Edward Arden,legal,,
Alexander Aria,ASL,,
Alexander Aria,London,,
William Armitage,AI,,
William Armitage,ASL,,
William Armitage,Association for the Protection of Homeopathic Students and Practitioners,,
William Armitage,business,,
William Armitage,country,,
T  B Armitstead,ASL,,
William Armstrong,AI,,
William Armstrong,Athenaeum Club,,
William Armstrong,ESL,,
William Armstrong,London,,
William Armstrong,Royal Society,,
William Armstrong,aristocracy,,
William Armstrong,business,,
William Armstrong,country,,
Edward Arnold,ASL,,
Edward Arnold,Chemical Society,,
Edward Arnold,Phrenological Society,,
Edward Arnold,country,,
Richard Arnold,AI,,
Richard Arnold,ASL,,
Richard Arnold,America,,
Richard Arnold,American Medical Association,,
Richard Arnold,Georgia Historical Society,,
