"Name","id"
 Joseph Storrs,2543
A  Mackintosh Shaw,1833
A  de Fullner,748
"A , jun Ramsay",1662
A A Stewart,1951
A Ambrose,2902
A B Stark,1941
A B Wright,3410
A Bell,2931
A C Brebner,258
A Crowley,2318
A Dale,2321
A Ellis,2331
A F Forsell,3054
A Fitzjames,3049
A Friend,3062
A G Cross,502
A H Russell,1763
A Heaviside,3108
A Hodgson,3116
A Ioannides,1033
A J Larking,3155
A J Lorking,3166
A Janson,2719
A L  (pere) Gosse,803
A L Wigan,2178
A Milne,1366
A P Balkwill,2561
A Reid,3271
A Roberts,1711
A Schumann,1802
A Thistlethwaite,2479
A W Parsons,1553
A Wells,3388
AI,6
APS,2
ASL,4
Abell Smith,1872
Aberdeen Horticultural Society,71
Abraham Crowley,2638
Abraham Fisher,2654
Abraham Logan,1220
Abraham Sewell,2809
Abram Rawlinson Barclay,2518
Academia Quirurgia of Madrid,128
Academie Hongroise de Pest,223
Academy of Anatolia,92
Academy of Medicine and Surgery of Madrid and Barcelona,204
Academy of Natural Sciences Philadelphia,102
Academy of Natural Sciences of Spain,205
"Academy of Surgery, Madrid",103
Acclimatisation Society,19
Ad Eundem,68
Adam Storey Farrar,684
Adolf Bastian,119
Adolf Ernst,667
Adolph Bendir,160
Adolphe Duchart Fauvet,688
Adrian Balbi,2921
Africa,4
Agnes Craig,3001
Alan Cornwall Blackstone,191
Albania,79
Albemarle Burlington Club,37
Albert Club,44
Albert Fytche,750
Albert Gledstanes,787
Albert Mitchell,1375
Albert Taylor Bledsoe,197
Albert Tootal,2051
Aldin Grout,3081
Alex  Nidda Genthe,771
Alexander (1) Mitchell,1376
Alexander Adolphus Fraser,735
Alexander Aria,47
Alexander C Hamilton,864
Alexander Colvin Fraser,736
Alexander Cunningham,511
Alexander Downing,596
Alexander Duncan,623
Alexander Ecker,641
Alexander Fiddes,696
Alexander Grace,2673
Alexander Gregg,827
Alexander Guthrie,855
Alexander Hector,920
Alexander Henderson,924
"Alexander Humboldt, Von",1011
Alexander Isbester,1037
Alexander Macnamee Walker,2112
Alexander McArthur,1323
Alexander Michie,1353
Alexander Milne Dunlop,629
Alexander Moir,1386
Alexander Morison,1413
Alexander Muirhead Aitken,18
Alexander Nasmyth,1467
Alexander Norman Tate,1996
Alexander Paspati,1557
Alexander Patrick Stewart,1952
Alexander Robertson,1714
Alexander Robertson (2),1715
Alexander Walker,2111
Alexis Fedschenko,691
Alfred Aubert,72
Alfred Backhouse,2553
Alfred Barton,117
Alfred Becquet,142
Alfred Club,62
Alfred Edmund Harriss,896
Alfred Gutteres Henriques,928
Alfred Henry Pechell,1570
Alfred Henry Wilson,2202
Alfred Hewlett,940
Alfred Higgins,943
Alfred How,995
Alfred John Dunkin,628
Alfred Kitching,2401
Alfred L Fox,2658
Alfred M Sanderson,1779
Alfred Mallalieu,1273
Alfred Maury,1310
Alfred Pulford,1645
Alfred Ransome,3265
Alfred Robert Houghton,991
Alfred Robert Thompson,2021
Alfred Rosling,2441
Alfred Russel Wallace,2121
Alfred S Rogers,1730
Alfred Sadler,1772
Alfred Sanders,1778
Alfred Smith,2458
Alfred Spencer Churchill,2979
Alfred Tubb Windus,2215
Alfred Vincent Newton,1480
Alfred Wake,2106
Alfred Waterhouse,2494
Alfred Wiltshire,2213
Alfred von Kremer,1138
Algernon Charles Swinburne,1982
Algernon Joy,1089
Algernon Peckover,2772
Algic Society,228
Alois Auer,73
Alphonse de Fleuriot de Langle,714
Alpine Club,39
America,5
American Ethnological Society,101
American Jewish Historical Society,214
American Medical Association,24
American Oriental Society,90
Amos Beardsley,134
Anastasius Agathides,13
Anatoly Petrovich Bogdanoff,203
Anders Retzius,1687
Andrew & Jun Johnston,2722
Andrew Black,187
Andrew Gilmour,782
Andrew Johnston,2721
Andrew Lang,1153
Andrew Maclure,1267
Andrew McCallum,1324
Andrew Mercer Adam,3
Andrew Scott Waugh,2145
Andrew Smith,1873
Andrew Stewart,3334
Andrew Struthers,1968
Andrew Valentine Kirwan,1126
Andrew Wilson,2203
Andrew Wyley,2249
Angelo Manzoni,1277
Ankithum Venkata Nursing Row,1750
Ann Cropper,2630
Ann Crowley,3004
Ann Everett,2333
Ann Gibson,2349
Ann Hopkins Smith,3304
Ann M Hopkins,3121
Ann Snowden,2461
Ann Tweedy,2857
Ann W Christy,2978
Ann Wallis,2492
Anna Gurney,2675
Anthony Dinsdale,3019
Anthony Lax Fisher,704
Anthony White,3392
Anthropological Institute of New York,87
Anthropological Society of Berlin,44
Anthropological Society of Brussels,45
Anthropological Society of Moscow,59
Anthropological Society of Paris,12
Anthropological Society of Washington,46
Anton Fritsch,745
Antonio Brady,249
Antonio Garbiglietti,756
Antonio Raimondi,1661
"Antonio de La, jun Cerda",374
Archibald Campbell,337
Archibald Hamilton,865
Archibald Robertson,1716
Argentina,23
Armenia,84
Armenius Vambery,2089
Army & Navy Club,19
Arthur Albright,2261
Arthur B Ewen,677
Arthur B Harris,888
Arthur Charles Wriothesley Lennox,1193
Arthur Chilver Tupper,2069
Arthur Constantine Ionides,1034
Arthur Daniel Aulton,74
Arthur Dashwood,539
Arthur Edmund Crafter,486
Arthur Edward Downing,597
Arthur Edward McCallum,1325
Arthur Giles Puller,1647
Arthur Gordon Gordon,801
Arthur Hill,946
Arthur Johnson,1072
Arthur Mitchell,1377
Arthur Paget,1537
Arthur Pease,2762
Arthur Phayre,1593
Arthur Tappan,3350
Arthur Trevelyan,2059
Arthur Turrell,2075
Arthur Vacher,2087
Arthur William A Beckett,1
Arthur de Zeltner,2259
Arthurs Club,69
Arts Club,9
Arundel Club,21
Ashton Yates,2251
Association Scientifique de Paris,178
Association for Promoting the General Welfare of the Blind,166
Association for the Protection of Homeopathic Students and Practitioners,20
Assyriologist,69
Athenaeum Club,2
August Friedrich Marschall von Burgholzhausen,310
August Hirsch,958
August Muller,1441
Augustin Weisbach,2151
Augustine Aglio,14
Augustus D'Este,3015
Augustus E G Perrot,1582
Augustus Goldsmid,795
Augustus Guest,848
Augustus H Hunt,1012
Augustus Heinrich Petermann,1588
Augustus Henry Lane Fox later Pitt Rivers,1152
Augustus Jessopp,1068
Augustus S Wilkins,2181
Augustus Wollaston Franks,734
Austen Henry Layard,1173
Australia,18
Austria,13
Austria Hungary,48
B G Miraglia,1372
B H Paul,1561
B Hewitt,938
B Slack,3303
Bacup Natural History Society,258
Balthazar Walter Foster,728
Barnard Dickinson,2646
Barnet Phillips,1594
Barr Meadows,1338
Bartholomew Bernasconi,170
Bartholomew Smith,2818
Basil Lovery,1230
Bath Charles Smart,1870
Bath Natural History Society,256
Bath Royal Literary and Scientific Institution,154
Bath and County Club,64
Bayle St John,1928
Bedford Pim,1604
Belgian Academy of Sciences of France,99
Belgium,20
Belize,55
Benbow Backhouse Marson,1289
Benjamin Bond Cabbell,328
Benjamin Boyd,2949
Benjamin Collins Brodie,271
Benjamin Hinde,955
Benjamin Jowett (2),2395
Benjamin Phillips,1595
Benjamin Robert Winthrop,2216
Benjamin Seebohm,2452
Benjamin Vulliamy,2101
Benjamin Wheeler,2869
Benson Baker,92
Benson Fryer,3064
Beriah Botfield,225
Bermuda,52
Bernard Dorn,592
Bernard Edward Brodhurst,270
Bernard Quaritch,1652
Berthold Seemann,1817
Berwickshire Naturalists Field Club,66
Bev D Hewett,3110
Biblical Archaeological Society,42
Borneo,53
Botanical Society of Edinburgh,208
Botanical Society of London,75
Brasenose Club,41
Brasseur de Bourbourg,229
Brazil,14
Brian Houghton Hodgson,968
Brice Smyth,1894
Brinsley Nicholson,1486
Bristol and Gloucester Archaeological Society,47
British Academy,152
British Archaeological Association,64
British Archaeological Society,40
British Association,55
British Homeopathic Association,138
British Homeopathic Society,135
British Medical Association,174
British Museum,206
British Mycological Society,233
British National Association of Spirtualists,158
Brookes Club,54
Brothers Peek,3236
Buchanan Washbourn,2138
Buffalo Society of Natural Sciences,106
Burmah,49
Burwood Godlee,2672
Buxton Lawrie,3158
C  Poorooshottum Modeliar,1383
C  Treasure Jones,1080
C A Albright,2889
C A Du Val,609
C Ashby,2273
C B Mosse,1433
C B Robinson,3280
C Baxter,2927
C Clarke,411
C Clothier,2314
C D Hammond,868
C D Tolme,2047
C E Harle,883
C F Howard,996
C H  Fairfax Ellis,657
C H Pearson,1569
C Haddison,3086
C Hinchcliffe,3113
C Jervise,1066
C Knight,2402
C Lilgevolch,3164
C Lushington,3171
C M Barter,115
C Mottley,3220
C Rathbone,3268
C S Tosswill,3365
C Southall,2462
C T Gardner,759
C W  Bowdler Bell,150
C Washbourne,3385
Caerleon Antiquarian Association,164
Caleb Fletcher,2338
Caleb Williams,2874
Caledonian Club,63
Cambrian Archaeological Association,232
Cambrian Archaeological Society,243
Cambridge Philosophical Society,30
Camden Society,234
Camille Bertrand,172
Camille Dareste,533
Canada,22
Cannibal Club,13
Carl (Karl) Steinhauer,1945
Carl Alphonse Hoffman,971
Carl Ernst von Baer,82
Carl Gustav Carus,364
Carl Ritter,1706
Carl Ritter von Scherzer,1792
Carl Semper,1821
Carl Vogt,2100
Carl Wilhelm Ferdinand Uhde,2081
Carlton Club,4
Caroline Armistead,2550
Caroline Marriage,2743
Casper W Eddy,643
Catherine Backhouse,2277
Century Club,27
Ceylon,16
Champion Wetton,2160
Charity Organization Society,117
Charles (1) Harrison,893
Charles A Atkins,66
Charles Adlard,2886
Charles Adolphe Morlot,1415
Charles Alfred Rolph,1736
Charles Atkins,65
Charles Augustus Ward,2128
Charles B Warner,2865
Charles Bennett,163
Charles Booth,221
Charles Brainsford,255
Charles Brett,261
Charles Brewin,2595
Charles Buxton,322
Charles Capper,353
