"Name","religion_id","birth_year","death_year","gender_id","data_source_id"
 Joseph Storrs,1,NA,NA,,2
A  Mackintosh Shaw,NA,NA,NA,1,1
A  de Fullner,NA,NA,NA,1,1
"A , jun Ramsay",NA,NA,NA,1,1
A A Stewart,NA,NA,NA,1,1
A Ambrose,NA,NA,NA,,3
A B Stark,NA,NA,NA,1,1
A B Wright,NA,NA,NA,,3
A Bell,NA,NA,NA,,3
A C Brebner,NA,NA,"1,873",1,1
A Crowley,1,NA,NA,,3
A Dale,1,NA,NA,,3
A Ellis,1,NA,NA,,3
A F Forsell,NA,NA,NA,,3
A Fitzjames,NA,NA,NA,,3
A Friend,NA,NA,NA,,3
A G Cross,NA,NA,NA,1,1
A H Russell,NA,"1,837","1,916",1,1
A Heaviside,NA,NA,NA,,3
A Hodgson,NA,NA,NA,,3
A Ioannides,NA,NA,NA,1,1
A J Larking,NA,NA,NA,,3
A J Lorking,NA,NA,NA,,3
A Janson,1,NA,NA,,3
A L  (pere) Gosse,NA,"1,791","1,873",1,1
A L Wigan,NA,NA,NA,1,1
A Milne,NA,NA,NA,1,1
A P Balkwill,1,NA,NA,,3
A Reid,NA,NA,NA,,3
A Roberts,NA,NA,NA,1,1
A Schumann,NA,NA,NA,1,1
A Thistlethwaite,1,NA,NA,,3
A W Parsons,NA,NA,NA,1,1
A Wells,NA,NA,NA,,3
AI,,,,,
APS,,,,,
ASL,,,,,
Abell Smith,NA,NA,NA,1,1
Aberdeen Horticultural Society,,,,,
Abraham Crowley,1,NA,NA,,3
Abraham Fisher,1,NA,NA,,3
Abraham Logan,NA,"1,816","1,873",1,1
Abraham Sewell,1,NA,NA,,3
Abram Rawlinson Barclay,1,NA,NA,,2
Academia Quirurgia of Madrid,,,,,
Academie Hongroise de Pest,,,,,
Academy of Anatolia,,,,,
Academy of Medicine and Surgery of Madrid and Barcelona,,,,,
Academy of Natural Sciences Philadelphia,,,,,
Academy of Natural Sciences of Spain,,,,,
"Academy of Surgery, Madrid",,,,,
Acclimatisation Society,,,,,
Ad Eundem,,,,,
Adam Storey Farrar,NA,"1,826","1,905",1,1
Adolf Bastian,NA,"1,826","1,905",1,1
Adolf Ernst,NA,"1,832","1,899",1,1
Adolph Bendir,NA,"1,834",NA,1,1
Adolphe Duchart Fauvet,NA,NA,NA,1,1
Adrian Balbi,NA,NA,NA,,3
Africa,,,,,
Agnes Craig,NA,NA,NA,,3
Alan Cornwall Blackstone,NA,"1,833","1,899",1,1
Albania,,,,,
Albemarle Burlington Club,,,,,
Albert Club,,,,,
Albert Fytche,NA,"1,820","1,892",1,1
Albert Gledstanes,NA,NA,NA,1,1
Albert Mitchell,NA,NA,NA,1,1
Albert Taylor Bledsoe,NA,"1,809","1,877",1,1
Albert Tootal,NA,"1,838","1,893",1,1
Aldin Grout,NA,NA,NA,,3
Alex  Nidda Genthe,NA,NA,"1,870",1,1
Alexander (1) Mitchell,NA,"1,831","1,873",1,1
Alexander Adolphus Fraser,NA,NA,NA,1,1
Alexander Aria,NA,NA,NA,1,1
Alexander C Hamilton,NA,NA,NA,1,1
Alexander Colvin Fraser,NA,NA,NA,1,1
Alexander Cunningham,NA,"1,814","1,893",1,1
Alexander Downing,NA,"1,843","1,907",1,1
Alexander Duncan,NA,"1,819","1,887",1,1
Alexander Ecker,NA,"1,816","1,887",1,1
Alexander Fiddes,NA,NA,"1,870",1,1
Alexander Grace,1,NA,NA,,3
Alexander Gregg,NA,"1,819","1,893",1,1
Alexander Guthrie,NA,"1,796","1,865",1,1
Alexander Hector,NA,"1,810","1,875",1,1
Alexander Henderson,NA,"1,804",NA,1,1
"Alexander Humboldt, Von",NA,"1,769","1,859",1,1
Alexander Isbester,NA,"1,822","1,883",1,1
Alexander Macnamee Walker,NA,NA,NA,1,1
Alexander McArthur,NA,"1,814","1,909",1,1
Alexander Michie,NA,"1,833","1,902",1,1
Alexander Milne Dunlop,NA,"1,841","1,897",1,1
Alexander Moir,NA,NA,NA,1,1
Alexander Morison,NA,"1,779","1,866",1,1
Alexander Muirhead Aitken,NA,NA,NA,1,1
Alexander Nasmyth,NA,"1,789","1,849",1,1
Alexander Norman Tate,NA,"1,837","1,892",1,1
Alexander Paspati,NA,"1,814","1,891",1,1
Alexander Patrick Stewart,NA,"1,813","1,883",1,1
Alexander Robertson,NA,NA,"1,906",1,1
Alexander Robertson (2),NA,NA,NA,1,1
Alexander Walker,NA,"1,824",NA,1,1
Alexis Fedschenko,NA,"1,844","1,873",1,1
Alfred Aubert,NA,NA,NA,1,1
Alfred Backhouse,1,NA,NA,,3
Alfred Barton,NA,"1,825","1,905",1,1
Alfred Becquet,NA,NA,NA,1,1
Alfred Club,,,,,
Alfred Edmund Harriss,NA,NA,NA,1,1
Alfred Gutteres Henriques,NA,"1,829","1,908",1,1
Alfred Henry Pechell,NA,"1,827","1,885",1,1
Alfred Henry Wilson,NA,NA,NA,1,1
Alfred Hewlett,NA,"1,831","1,918",1,1
Alfred Higgins,NA,NA,NA,1,1
Alfred How,NA,NA,NA,1,1
Alfred John Dunkin,NA,"1,812","1,879",1,1
Alfred Kitching,1,NA,NA,,3
Alfred L Fox,1,NA,NA,,3
Alfred M Sanderson,NA,NA,NA,1,1
Alfred Mallalieu,NA,NA,NA,1,1
Alfred Maury,NA,"1,817","1,892",1,1
Alfred Pulford,NA,"1,823","1,896",1,1
Alfred Ransome,NA,NA,NA,,3
Alfred Robert Houghton,NA,NA,NA,1,1
Alfred Robert Thompson,NA,NA,NA,1,1
Alfred Rosling,1,NA,NA,,3
Alfred Russel Wallace,NA,"1,823","1,913",1,1
Alfred S Rogers,NA,NA,NA,1,1
Alfred Sadler,NA,NA,NA,1,1
Alfred Sanders,NA,NA,NA,1,1
Alfred Smith,1,NA,NA,,3
Alfred Spencer Churchill,NA,NA,NA,,3
Alfred Tubb Windus,NA,NA,NA,1,1
Alfred Vincent Newton,NA,NA,NA,1,1
Alfred Wake,NA,NA,NA,1,1
Alfred Waterhouse,1,NA,NA,,3
Alfred Wiltshire,NA,"1,839","1,886",1,1
Alfred von Kremer,NA,"1,828","1,889",1,1
Algernon Charles Swinburne,NA,"1,837","1,909",1,1
Algernon Joy,NA,NA,NA,1,1
Algernon Peckover,1,NA,NA,,3
Algic Society,,,,,
Alois Auer,NA,"1,813","1,869",1,1
Alphonse de Fleuriot de Langle,NA,"1,809","1,881",1,1
Alpine Club,,,,,
America,,,,,
American Ethnological Society,,,,,
American Jewish Historical Society,,,,,
American Medical Association,,,,,
American Oriental Society,,,,,
Amos Beardsley,NA,NA,NA,1,1
Anastasius Agathides,NA,"1,805","1,881",1,1
Anatoly Petrovich Bogdanoff,NA,"1,834","1,896",1,1
Anders Retzius,NA,"1,796","1,860",1,1
Andrew & Jun Johnston,1,NA,NA,,3
Andrew Black,NA,"1,851","1,916",1,1
Andrew Gilmour,NA,NA,"1,910",1,1
Andrew Johnston,1,NA,NA,,3
Andrew Lang,NA,"1,844","1,912",1,1
Andrew Maclure,NA,"1,813","1,886",1,1
Andrew McCallum,NA,NA,NA,1,1
Andrew Mercer Adam,NA,NA,NA,1,1
Andrew Scott Waugh,NA,"1,810","1,878",1,1
Andrew Smith,NA,"1,797","1,872",1,1
Andrew Stewart,NA,NA,NA,,3
Andrew Struthers,NA,NA,NA,1,1
Andrew Valentine Kirwan,NA,"1,801","1,870",1,1
Andrew Wilson,NA,NA,NA,1,1
Andrew Wyley,NA,NA,NA,1,1
Angelo Manzoni,NA,NA,NA,1,1
Ankithum Venkata Nursing Row,NA,"1,827","1,892",1,1
Ann Cropper,1,NA,NA,,3
Ann Crowley,NA,NA,NA,,3
Ann Everett,1,NA,NA,,3
Ann Gibson,1,NA,NA,,3
Ann Hopkins Smith,NA,NA,NA,,3
Ann M Hopkins,NA,NA,NA,,3
Ann Snowden,1,NA,NA,,3
Ann Tweedy,1,NA,NA,,3
Ann W Christy,NA,NA,NA,,3
Ann Wallis,1,NA,NA,,3
Anna Gurney,1,NA,NA,,3
Anthony Dinsdale,NA,NA,NA,,3
Anthony Lax Fisher,NA,NA,NA,1,1
Anthony White,NA,NA,NA,,3
Anthropological Institute of New York,,,,,
Anthropological Society of Berlin,,,,,
Anthropological Society of Brussels,,,,,
Anthropological Society of Moscow,,,,,
Anthropological Society of Paris,,,,,
Anthropological Society of Washington,,,,,
Anton Fritsch,NA,"1,832","1,913",1,1
Antonio Brady,1,"1,811","1,881",1,1
Antonio Garbiglietti,NA,"1,807","1,887",1,1
Antonio Raimondi,NA,"1,826","1,890",1,1
"Antonio de La, jun Cerda",NA,"1,834","1,885",1,1
Archibald Campbell,NA,"1,805","1,874",1,1
Archibald Hamilton,NA,"1,818","1,880",1,1
Archibald Robertson,NA,NA,NA,1,1
Argentina,,,,,
Armenia,,,,,
Armenius Vambery,NA,"1,832","1,913",1,1
Army & Navy Club,,,,,
Arthur Albright,1,NA,NA,,3
Arthur B Ewen,NA,"1,838",NA,1,1
Arthur B Harris,NA,NA,NA,1,1
Arthur Charles Wriothesley Lennox,NA,"1,842","1,876",1,1
Arthur Chilver Tupper,NA,"1,816","1,876",1,1
Arthur Constantine Ionides,NA,"1,810","1,890",1,1
