"Name","id"
Arthur William A Beckett,1
Andrew Mercer Adam,3
H R Adam,4
William Adam,5
Henry John Adams,6
William (1) Adams,7
William (2) Adams,8
William Adlam,11
Louis Agassiz,12
Anastasius Agathides,13
Augustine Aglio,14
Joseph Agnew,15
William Francis Harrison Ainsworth,16
William Baird Airston,17
Alexander Muirhead Aitken,18
Thomas Aitken,19
Rutherford Alcock,22
William Aldam,23
Frederick W Aley,25
J  McGrigor Allan,26
S  Stafford Allen,27
William Allen,28
George Allin,29
Charles Hamond Alpe,30
Crewe Alston,31
William Amhurst Tyssen Amhurst,33
George Amner,34
Edward C Anderson,35
John Anderson,36
Joseph Anderson,37
W  P Andrew,38
x Andrews,39
Matthew John Anketell,40
Thomas Chisholm Anstey,41
x Antrim,42
William Appleyard,43
William Arbuthnot,44
Frederick Scott Archer,45
Richard Edward Arden,46
Alexander Aria,47
William Armitage,48
T  B Armitstead,49
William Armstrong,51
Edward Arnold,52
Richard Arnold,53
William Arthur,54
Rodolph Arundell,55
Isidore Ascher,56
Charles Frederick Ash,57
James Ashbury,58
John Ashbury,59
William Henry Ashurst,60
Henry Ashworth,61
William Aspull,62
John Atcherley,64
Charles Atkins,65
Charles A Atkins,66
E Atkinson,67
George Atkinson,68
Alfred Aubert,72
Alois Auer,73
Arthur Daniel Aulton,74
Charles Cardale Babington,78
William Babington,79
Edward Backhouse,80
James (1) Backhouse,81
Carl Ernst von Baer,82
John Bagehot,83
Walter ('Badgett') Bagehot,84
Charles Henry Bagnall,85
Charles Stuart Bailey,86
John Bailey,87
John Bailey (2),88
James Bain,90
Thomas Baines,91
Benson Baker,92
J P Baker,93
John Baker,94
Samuel C Baker,95
William Bailey Baker,96
George Balfour,98
John Bannister,100
Henry Barber,101
Robert Baring,102
Henry Walter Barlow,105
Christopher J Barnard,106
Henry Thorowgood Barnes,107
John  Wheeldon Barnes,108
Robert Barnewall,109
Joseph Henry Barr,111
William Roby Barr,112
Thomas Squire Barrett,113
George William Barrington,114
C M Barter,115
William Edward Bartlett,116
Alfred Barton,117
John Stothert Bartrum,118
Adolf Bastian,119
Thomas Bateman,123
Ernest Bates,124
William Battye,126
Edwin Henry Baverstock,127
James Bainbridge Baxter,128
Thomas Henry Baylis,129
Samuel Beal,130
John S Beale,131
Lionel John Beale,132
Frank Carr Beard,133
Amos Beardsley,134
William Beattie,136
Richard Beaumont,138
Hugh J C Beavan,139
R C Beavan,140
Alfred Becquet,142
x Beechey,144
Hermann Beigel,145
C W  Bowdler Bell,150
James Bell,151
John Bell (2),152
Robert Bell,153
William Abraham Bell,154
Edward Bellamy,155
Henry Walter Bellew,156
William Painter Belliss,157
D Bellock,158
Lewis F Bellot,159
Adolph Bendir,160
Thomas Bendyshe,161
Charles Bennett,163
John Bennett,165
Thomas John Wesley Bennett,166
W F G Benson,167
William Ralph Benson,168
Richard Bentley,169
Bartholomew Bernasconi,170
George Bertram,171
Camille Bertrand,172
x Best,173
John Henry Biddles,176
Thomas Bigg,177
John Bilderbeck,178
Theodor Bilharz,180
Henry Corles Bingham,181
James Bird,182
R S Birkbeck,183
James Bischoff,185
Andrew Black,187
W H Black,188
William Blackmore,190
Alan Cornwall Blackstone,191
J H Blackwell,192
T A Blakely,194
Henry Jules Blanc,195
Sydney L Blanchard,196
Albert Taylor Bledsoe,197
David Blellock,198
John Hillier Blount,199
Frederick Edmund Blyth,200
Henry S Boase,201
Anatoly Petrovich Bogdanoff,203
Edward B Bogg,204
Henry George Bohn,205
John Peter Boileau,206
Henry James Bolding,207
Charles W Bollaert,208
William Bollaert,209
Louis Lucien Bonaparte,210
E Bonavia,211
George Bonavia,212
Charles Radcliffe Bond,213
Walter M Bond,214
George Bonham,215
W C Bonnerjee,216
T  George Bonney,217
Evert Julius Bonsdorff,218
James Bonsor,219
James Bonwick,220
Charles Booth,221
W W Boreham,222
Cunningham Borthwick,223
Joseph Bosworth,224
Beriah Botfield,225
x Boucher de Crevecoeur de Perthes,226
x Boudin,227
George Boulton,228
Brasseur de Bourbourg,229
x Bourien,230
Philip Bourjeaurd,231
Sydney Edward Bouverie Bouverie-Pusey,232
Frederick Bower,233
Robert Bowie,235
Thomas William Bowman,236
John Bowring,237
William Henry Wentworth Bowyer,238
William Boxall,239
William Binnington Boyce,241
Jacob Boys,242
Edward William Brabrook,243
Frederick Braby,244
Charles Holt Bracebridge,245
Thomas Braddell,246
Antonio Brady,249
James Brady,250
P A Brady,251
William Bragge,252
George M Braggiotti,253
Thomas Henry Brain,254
Charles Brainsford,255
Thomas Brankstone,256
Frank William Breach,257
A C Brebner,258
James Brebner,259
William Brent Brent,260
Charles Brett,261
D J Breuneis,262
J S Brickwood,263
Edmund J Bridell,264
John Briggs,265
Lindsay Brine,266
John Brinton,267
Bernard Edward Brodhurst,270
Benjamin Collins Brodie,271
David Brodie,272
P B Brodie,274
Frederick Brome,275
