"Name","id"
AI,6
APS,2
ASL,4
Aberdeen Horticultural Society,71
Academia Quirurgia of Madrid,128
Academie Hongroise de Pest,223
Academy of Anatolia,92
Academy of Medicine and Surgery of Madrid and Barcelona,204
Academy of Natural Sciences Philadelphia,102
Academy of Natural Sciences of Spain,205
"Academy of Surgery, Madrid",103
Acclimatisation Society,19
Ad Eundem,68
Africa,4
Albania,79
Albemarle Burlington Club,37
Albert Club,44
Alfred Club,62
Algic Society,228
Alpine Club,39
America,5
American Ethnological Society,101
American Jewish Historical Society,214
American Medical Association,24
American Oriental Society,90
Anthropological Institute of New York,87
Anthropological Society of Berlin,44
Anthropological Society of Brussels,45
Anthropological Society of Moscow,59
Anthropological Society of Paris,12
Anthropological Society of Washington,46
Argentina,23
Armenia,84
Army & Navy Club,19
Arthurs Club,69
Arts Club,9
Arundel Club,21
Association Scientifique de Paris,178
Association for Promoting the General Welfare of the Blind,166
Association for the Protection of Homeopathic Students and Practitioners,20
Assyriologist,69
Athenaeum Club,2
Australia,18
Austria,13
Austria Hungary,48
Bacup Natural History Society,258
Bath Natural History Society,256
Bath Royal Literary and Scientific Institution,154
Bath and County Club,64
Belgian Academy of Sciences of France,99
Belgium,20
Belize,55
Bermuda,52
Berwickshire Naturalists Field Club,66
Biblical Archaeological Society,42
Borneo,53
Botanical Society of Edinburgh,208
Botanical Society of London,75
Brasenose Club,41
Brazil,14
Bristol and Gloucester Archaeological Society,47
British Academy,152
British Archaeological Association,64
British Archaeological Society,40
British Association,55
British Homeopathic Association,138
British Homeopathic Society,135
British Medical Association,174
British Museum,206
British Mycological Society,233
British National Association of Spirtualists,158
Brookes Club,54
Buffalo Society of Natural Sciences,106
Burmah,49
Caerleon Antiquarian Association,164
Caledonian Club,63
Cambrian Archaeological Association,232
Cambrian Archaeological Society,243
Cambridge Philosophical Society,30
Camden Society,234
Canada,22
Cannibal Club,13
Carlton Club,4
Century Club,27
Ceylon,16
Charity Organization Society,117
Chemical Society,23
Child Study Society,181
Childhood Society,180
Chile,75
China,8
CoE,4
Colquehoun Club,22
Conservative Club,35
Cork Scientific and Literary Society,185
Cumberland and Westmorland Antiquarian and Archaeological Society,123
Cyprus,45
Denmark,58
Dominican Republic,74
Dresden Geographical Society,224
ESL,3
Early English Text Society,116
East India Club,59
East India United Services Club,45
East Yorkshire Anthropological Society,159
Eclectic Medical Society of New York,199
Ecuador,81
Edinburgh Gratis Sabbath School Society,93
Edinburgh Mathematical Society,236
Egypt,10
Entomological Society of London,74
Essex Field Club,48
Ethiopia,32
"Ethnological Society, New York",61
"Ethnological Society, Paris",160
Ex Libris Society,77
Field Naturalists Club of Victoria,173
Finland,24
Folklore Society,65
France,21
French Guiana,68
Garrick Club,33
Genealogical and Historical Society of Great Britain,131
Geographical Society of Paris,219
Geological Society,11
Geological Society of France,143
Geologist's Association,120
Georgia Historical Society,25
German Oriental Society,89
Germany,19
Gibraltar,28
Glasgow Art Club,18
Glasgow Secular School Society,184
Glasgow Sunday Educational Association,183
Grafton Club,12
Greece,50
Guards Club,49
Hahneman Medical Society,137
Haiti,78
Halifax Literary and Philosophical Society,170
Harveian Society,4
Hastings and St Leonard's Philosophical Society,241
Hertfordshire Natural History Society,121
Historic Society of Lancashire and Cheshire,142
Historical Institute,41
Holland,57
Hong Kong,11
Horticultural Society of Ulverstone,226
Hull Literary and Philosophical Society,83
Hungarian Academy of Sciences,229
Hungary,56
Imperial Academy of Dresden,48
Imperial Academy of Medicine of France,161
Imperial Leopoldino Carolina Academia Naturae Curiosum,146
India,7
Indian Club,67
Indian Reform Association,114
Institut d'Afrique a Paris,43
Institute of Actuaries,153
Institute of France,98
Institute of Mining Engineers,140
Institution of Mechanical Engineers,261
Iraq,54
Ireland,12
Israel,47
Italy,30
Jamaica,34
Japan,9
Java,73
Jew,3
Johnson Club,29
Junior Athenaeum Club,7
Junior Carlton Club,10
Junior Garrick Club,53
Junior United Service Club,47
Kent Archaeological Society,144
LAS,5
Leeds Philosophical and Literary Society,213
Libya,39
Linnean Society of London,16
Linnean Society of New South Wales,175
Literary and Philosophical Society of Liverpool,148
Liverpool District Provident Society,182
Liverpool Literary and Philosophical Society of Liverpool,109
London,1
London School of Phrenology,107
London Secular Society,69
London Spiritualist Alliance,156
London Topographical Society,216
London and Middlesex Archaeological Association,68
Madagascar,80
Madeira,62
"Madras Club, Madras",56
Malaysia,42
Malta,65
Manchester Anthropological Society,134
Manchester Club,42
Manchester Geological Society,240
Manchester Literary Club,61
Manchester Literary and Philosophical Society,108
Manchester Medical Society,176
Manchester Scientific Student's Association,82
Manx Society,222
Marine Biological Association of the United Kingdom,38
Marlborough Club,3
Mauritius,67
Medical Society of London,5
Medical and Chirurgical Society of London,6
Medico Psychological Association,13
Metaphysical Society,124
Meteriological Society Scotland,245
Meteriological Society of France,246
Methodist,2
Mexico,27
Michigan Historical Society,227
Microscopical Society of London,126
Midland Natural History Society,73
"Museum d'Histoire Naturel, Paris",188
Natal Agricultural and Horticultural Society,210
Natal Society,212
National Association for the Promotion of Social Sciences,112
National Association of Spiritualists of London,157
National Club,6
National Institution for Diseases of the Skin Edinburgh,186
National Secular Society,70
National Union of Conservative and Constitutional Associations,115
National Vaccine Establishment,225
