"Name","birth_year","death_year","Target","first_year","last_year"
H R Adam,NA,NA,AI,1870,1871
William (2) Adams,"1,820","1,900",AI,1858,1871
Louis Agassiz,"1,807","1,873",AI,1860,1871
Alexander Muirhead Aitken,NA,NA,AI,1864,1871
William Amhurst Tyssen Amhurst,"1,835","1,909",AI,1862,1871
x Antrim,"1,851","1,918",AI,1871,1871
William Appleyard,NA,NA,AI,1854,1871
William Arbuthnot,NA,NA,AI,1868,1871
William Armitage,"1,815","1,903",AI,1864,1871
William Armstrong,"1,810","1,900",AI,1865,1871
Richard Arnold,"1,808","1,876",AI,1866,1871
William Arthur,"1,819","1,901",AI,1865,1870
Charles Frederick Ash,NA,NA,AI,1864,1871
William Henry Ashurst,"1,819","1,879",AI,1863,1871
Charles Atkins,NA,NA,AI,1868,1871
George Atkinson,NA,NA,AI,1869,1871
Charles Cardale Babington,"1,808","1,895",AI,1864,1871
Edward Backhouse,"1,808","1,879",AI,1870,1871
Carl Ernst von Baer,"1,792","1,876",AI,1861,1871
Walter ('Badgett') Bagehot,"1,826","1,877",AI,1865,1871
James Bain,"1,818","1,898",AI,1865,1871
John Baker,"1,813","1,872",AI,1861,1871
Samuel C Baker,"1,821","1,893",AI,1866,1871
William Bailey Baker,"1,828","1,865",AI,1858,1871
George Balfour,"1,809","1,894",AI,1865,1871
John  Wheeldon Barnes,"1,825","1,893",AI,1870,1871
William Roby Barr,"1,832",NA,AI,1863,1871
Thomas Squire Barrett,NA,NA,AI,1865,1871
George William Barrington,"1,824","1,886",AI,1865,1871
William Edward Bartlett,"1,836","1,908",AI,1864,1871
John Stothert Bartrum,"1,817","1,904",AI,1865,1871
William Battye,NA,NA,AI,1867,1871
Hermann Beigel,"1,830","1,879",AI,1865,1871
William Abraham Bell,"1,841","1,921",AI,1869,1871
Edward Bellamy,"1,837","1,889",AI,1865,1871
Henry Walter Bellew,"1,834","1,892",AI,1870,1871
Thomas Bendyshe,"1,827","1,886",AI,1863,1871
Charles Bennett,NA,NA,AI,1867,1871
George Bertram,NA,NA,AI,1864,1871
John Bilderbeck,NA,NA,AI,1866,1871
James Bischoff,NA,NA,AI,1865,1871
Andrew Black,"1,851","1,916",AI,1870,1871
William Blackmore,"1,827","1,878",AI,1866,1871
Henry Jules Blanc,NA,NA,AI,1866,1871
Henry George Bohn,"1,796","1,884",AI,1861,1871
William Bollaert,"1,807","1,876",AI,1862,1870
Louis Lucien Bonaparte,"1,813","1,891",AI,1862,1871
George Bonavia,"1,818","1,901",AI,1870,1871
James Bonsor,NA,"1,881",AI,1869,1871
James Bonwick,"1,817","1,906",AI,1869,1871
Cunningham Borthwick,"1,813","1,885",AI,1865,1871
Sydney Edward Bouverie Bouverie-Pusey,"1,839","1,911",AI,1863,1871
Jacob Boys,"1,796","1,884",AI,1863,1871
Edward William Brabrook,"1,839","1,930",AI,1864,1871
Frederick Braby,"1,830","1,911",AI,1865,1871
