"Source","Target"
H R Adam,AI
William (2) Adams,AI
Louis Agassiz,AI
Alexander Muirhead Aitken,AI
William Amhurst Tyssen Amhurst,AI
x Antrim,AI
William Appleyard,AI
William Arbuthnot,AI
William Armitage,AI
William Armstrong,AI
Richard Arnold,AI
William Arthur,AI
Charles Frederick Ash,AI
William Henry Ashurst,AI
Charles Atkins,AI
George Atkinson,AI
Charles Cardale Babington,AI
Edward Backhouse,AI
Carl Ernst von Baer,AI
Walter ('Badgett') Bagehot,AI
James Bain,AI
John Baker,AI
Samuel C Baker,AI
William Bailey Baker,AI
George Balfour,AI
John  Wheeldon Barnes,AI
William Roby Barr,AI
Thomas Squire Barrett,AI
George William Barrington,AI
William Edward Bartlett,AI
John Stothert Bartrum,AI
William Battye,AI
Hermann Beigel,AI
William Abraham Bell,AI
Edward Bellamy,AI
Henry Walter Bellew,AI
Thomas Bendyshe,AI
Charles Bennett,AI
George Bertram,AI
John Bilderbeck,AI
James Bischoff,AI
Andrew Black,AI
William Blackmore,AI
Henry Jules Blanc,AI
Henry George Bohn,AI
William Bollaert,AI
Louis Lucien Bonaparte,AI
George Bonavia,AI
James Bonsor,AI
James Bonwick,AI
Cunningham Borthwick,AI
Sydney Edward Bouverie Bouverie-Pusey,AI
Jacob Boys,AI
Edward William Brabrook,AI
Frederick Braby,AI
Charles Holt Bracebridge,AI
Antonio Brady,AI
P A Brady,AI
William Bragge,AI
A C Brebner,AI
James Brebner,AI
Charles Brett,AI
John Briggs,AI
Lindsay Brine,AI
Charles Cornish Brown,AI
James Roberts Brown,AI
John Allen Brown,AI
Thomas Henry Browne,AI
George Bryant,AI
William Bull,AI
Luke Burke,AI
George Busk,AI
William John Busteed,AI
Henry Butler,AI
James Butler,AI
Benjamin Bond Cabbell,AI
John Calman,AI
Archibald Campbell,AI
Francis Campbell,AI
George (1) Campbell,AI
James Campbell,AI
T A Campbell,AI
Walter Campbell,AI
William Camps,AI
Charles Napoleon de Cardi,AI
William D Carey,AI
John Burford Carlill,AI
Samuel Cartwright,AI
George Catlin,AI
John Cavafy,AI
John Henry Challis,AI
William Chamberlin,AI
Charles Harcourt Chambers,AI
William Chambers,AI
Frank Chance,AI
Edward Charlesworth,AI
William Charlton,AI
William Dinsdale Child,AI
Samuel Chinnery,AI
William Nathan Chipperfield,AI
T J Cholmondeley,AI
Hyde Clarke,AI
Robert Clarke,AI
William Aloysius Clavering,AI
John (1) Cleghorn,AI
H Clerk,AI
John Colam,AI
Henry Cole,AI
Vicat Cole,AI
John Sherrard Coleman,AI
John Frederick Collingwood,AI
W W Collins,AI
John (1) Collinson,AI
Moncure Daniel Conway,AI
William Fothergill Cooke,AI
Daniel Cooper,AI
Frederick Cooper,AI
William C Copperthwaite,AI
Tullie Cornthwaite,AI
Frederick William Cosens,AI
Samuel Courtauld,AI
Henry Augustus Cowper,AI
Tom junr Craston,AI
Oswald John Crawfurd,AI
Henry Crowley,AI
Moore A Cuffe,AI
Richard Cull,AI
Richard S Cunliffe,AI
Alexander Cunningham,AI
Edward Barrett Hodges Curteis,AI
John Richmond Cuthbert,AI
George Cutler,AI
William Barrington D'Almeida,AI
x Daa,AI
G  Wythes Daniell,AI
Robert Dukinfield Darbishire,AI
George Russell Dartnell,AI
Charles Darwin,AI
Arthur Dashwood,AI
John Davidson,AI
Jesse Conway Davies,AI
William Davies,AI
George Henry Daw,AI
William Boyd Dawkins,AI
George Dawson,AI
x Derby (formerly Stanley),AI
x Devonshire,AI
George Dibley,AI
Charles Wentworth Dilke,AI
John Dingle,AI
Jacob Ludwig Dohne,AI
John Langdon H Down,AI
D I Drakeford,AI
John Drummond,AI
Alexander Duncan,AI
David Duncan,AI
Francis Duncan,AI
Peter Martin Duncan,AI
Alfred John Dunkin,AI
Robert Dunn,AI
William Eassie,AI
Joseph William Eastwood,AI
Casper W Eddy,AI
John Edwards,AI
Walter Elliot,AI
C H  Fairfax Ellis,AI
William Erle,AI
Edward Bickerton Evans,AI
John Evans,AI
Edward John Eyre,AI
William Fairbairn,AI
Adam Storey Farrar,AI
Frederick Fearon,AI
Edwin Foxton Firby,AI
Frederick Firebrace,AI
James Firm,AI
Robert Fischer,AI
Morton Coates Fisher,AI
George Fleming,AI
John Wickham Flower,AI
George Folsom,AI
David Forbes,AI
Robert Nicholas Fowler,AI
Charles Henry Fox,AI
William Henry Francklyne,AI
Augustus Wollaston Franks,AI
Thomas Fraser,AI
William Freund,AI
Danby Palmer Fry,AI
A  de Fullner,AI
Albert Fytche,AI
Douglas Galton,AI
Francis Galton,AI
C T Gardner,AI
Charles Henry Gardner,AI
E V Gardner,AI
Peter Gardner,AI
John Peter Gassiot,AI
George Duncan Gibb,AI
Enrico Hillyer Giglioli,AI
William Gillespie,AI
Spyridon Glaucopides,AI
Augustus Goldsmid,AI
Richard Thomas Gore,AI
James Gowans,AI
Ryves William Graves,AI
Frederick King Green,AI
George Courthope Green,AI
William Greenwell,AI
William Rathbone Greg,AI
Walter Gregor,AI
George Grey,AI
Henry Rowland Ellison Grey,AI
Lepel Griffin,AI
James Oliff Griffits,AI
William Vernon Guise,AI
James Guthrie,AI
Johann Franz ('Julius') Haast,AI
Alexander C Hamilton,AI
Archibald Hamilton,AI
Rowland Hamilton,AI
Richard Davis Hanson,AI
Clarence Harcourt,AI
William Harding,AI
Samuel Harraden,AI
Arthur B Harris,AI
James Penn Harris,AI
Charles (1) Harrison,AI
William Henry Harrison,AI
Alfred Edmund Harriss,AI
John E Harvey,AI
Frederick Augustus Haserick,AI
George Hawkins,AI
Ferdinand Vandeveer Hayden,AI
Edward Charles Healey,AI
Dunbar Isidore Heath,AI
G J D Heath,AI
Alexander Henderson,AI
David Mitchell Henderson,AI
P Henderson,AI
