"Name","birth_year","death_year","Target","first_year","last_year"
William Aldam,1813,1890,APS,1838,1848
Samuel C Baker,1821,1893,APS,1839,1871
James Bell,1818,1872,APS,1847,1862
John Bell (2),1811,1895,APS,1838,1855
John Brown,1801,1879,APS,1839,1839
Henry Christy,1810,1865,APS,1840,1865
Thomas junior Christy,NA,NA,APS,1839,1839
William Clay,1791,1869,APS,1839,1868
Richard King,1811,1876,APS,1838,1871
John James Sturz,1800,1877,APS,1838,1838
William Spicer Wood,NA,1902,APS,1864,1867
W   Martin Wood,NA,NA,APS,1864,1864
William Wilson,1785,1868,APS,1838,1865
James Wilson,NA,NA,APS,1862,1867
E T Wakefield,NA,NA,APS,1853,1864
Arthur Trevelyan,NA,1880,APS,1864,1866
x Tonna,1812,1857,APS,1839,1840
Alfred Robert Thompson,NA,NA,APS,1863,1863
x Stuart,NA,NA,APS,1839,1839
William Parker Snow,1817,1895,APS,1860,1860
Andrew Smith,1797,1872,APS,1839,1851
William Wardrop Shaw,1816,1895,APS,1839,1851
Robert  Herman Schomburgk,1804,1865,APS,1847,1851
John Ross,NA,NA,APS,1839,1852
J Robinson,NA,NA,APS,1839,1840
Carl Ritter,1779,1859,APS,1839,1851
William Ridley,1819,1878,APS,1851,1852
Thomas Prendergast,1806,1886,APS,1838,1840
William Augustus Miles,NA,NA,APS,1839,1851
Hervy Masterson,NA,NA,APS,1847,1847
Thomas Martin,NA,NA,APS,1851,1851
Edward Martin,NA,NA,APS,1847,1850
William Horton Lloyd,NA,NA,APS,1862,1862
Joseph Lister,1827,1912,APS,1851,1855
J  Beete Jukes,1811,1869,APS,1862,1862
George Alexander James,NA,1868,APS,1865,1867
Alexander Isbester,1822,1883,APS,1857,1867
Jonathan Hutchinson,1828,1913,APS,1857,1866
William Holmes,NA,NA,APS,1840,1867
Thomas (1) Hodgkin,1798,1866,APS,1838,1866
James Heywood,1810,1897,APS,1865,1867
Charles (1) Harrison,NA,NA,APS,1866,1867
John Henry Gurney,1819,1890,APS,1851,1860
x Gribble,1807,1878,APS,1849,1857
George Grey,1812,1898,APS,1839,1851
George Stacey Gibson,1818,1883,APS,1851,1863
Charles Henry Fox,NA,NA,APS,1838,1852
William Fowler,NA,NA,APS,1860,1867
Robert Nicholas Fowler,1828,1891,APS,1851,1867
M Foster,1836,1907,APS,1866,1867
Morton Coates Fisher,NA,NA,APS,1859,1859
J H Elliott,NA,NA,APS,1838,1867
James F Draper,NA,1876,APS,1839,1840
James T J Doyle,NA,NA,APS,1839,1840
Ernest Dieffenbach,1811,1855,APS,1847,1851
David Dale,1829,1906,APS,1864,1865
Alexander Cunningham,1814,1893,APS,1838,1862
Henry Crowley,NA,1887,APS,1851,1855
Handel Cossham,1824,1890,APS,1862,1862
John (1) Collinson,1842,1922,APS,1862,1862
W W Collins,NA,1880,APS,1861,1862
x Collier,NA,NA,APS,1860,1867
C Clarke,NA,NA,APS,1867,1867
William Dinsdale Child,NA,1879,APS,1839,1851
F W Chesson,NA,NA,APS,1857,1867
T A Campbell,NA,NA,APS,1839,1840
Charles Buxton,1823,1871,APS,1851,1867
William Bull,1828,1902,APS,1854,1854
James Silk Buckingham,1786,1855,APS,1852,1855
Antonio Brady,1811,1881,APS,1861,1863
James Bird,NA,NA,APS,1860,1860
Charles Bennett,NA,NA,APS,1860,1860
Robert Bell,NA,NA,APS,1840,1850
Henry Thorowgood Barnes,NA,NA,APS,1838,1840
John Baker,1813,1872,APS,1861,1864
Thomas Baines,1820,1875,APS,1867,1867
John Bailey,NA,NA,APS,1860,1860
James (1) Backhouse,1794,1869,APS,1851,1867
Edward Backhouse,1808,1879,APS,1839,1867
William Allen,NA,NA,APS,1838,1840
S  Stafford Allen,1840,1870,APS,1861,1867
Arthur Albright,NA,NA,APS,1861,1867
Rachel Albright,NA,NA,APS,1860,1867
William Albright,NA,NA,APS,1852,1860
William Jun Aldam,NA,NA,APS,1838,1851
Frederick Alexander,NA,NA,APS,1839,1840
Samuel Allen,NA,NA,APS,1851,1864
John Arch,NA,NA,APS,1852,1854
R Arthington,NA,NA,APS,1855,1862
R Jun Arthington,NA,NA,APS,1860,1862
C Ashby,NA,NA,APS,1860,1860
T Jun Ashby,NA,NA,APS,1861,1862
Thomas Ashby,NA,NA,APS,1861,1867
Thomas Jun Ashby,NA,NA,APS,1865,1865
Catherine Backhouse,NA,NA,APS,1851,1861
Jonathan Backhouse,NA,NA,APS,1838,1851
S Baker,NA,NA,APS,1839,1840
Robert Barclay,NA,NA,APS,1838,1855
Richard Barrington,NA,NA,APS,1864,1867
Edward Beck,NA,NA,APS,1838,1859
Eliza Bell,NA,NA,APS,1851,1867
Frederick J Bell,NA,NA,APS,1851,1857
S S Bell,NA,NA,APS,1857,1866
Samuel Bewley,NA,NA,APS,1866,1867
x Biffin,NA,NA,APS,1861,1861
J Binyon,NA,NA,APS,1856,1857
E L Birkbeck,NA,NA,APS,1866,1866
H Birkbeck,NA,NA,APS,1860,1860
W Blaine,NA,NA,APS,1861,1862
Elizabeth Bowley,NA,NA,APS,1860,1867
Henry Brady,NA,NA,APS,1866,1867
Charles L Braithwaite,NA,NA,APS,1866,1866
L Braithwaite,NA,NA,APS,1860,1860
Isaac Brown,NA,NA,APS,1839,1867
Joshua Brown,NA,NA,APS,1860,1867
Lydia Brown,NA,NA,APS,1862,1867
Sarah Burgess,NA,NA,APS,1866,1867
Thomas Burgess,NA,NA,APS,1860,1861
Thomas Fowell Buxton,NA,NA,APS,1838,1867
W Catchpool,NA,NA,APS,1855,1859
x Charleton,NA,NA,APS,1860,1860
Samuel Clark,NA,NA,APS,1839,1840
W Clemes,NA,NA,APS,1853,1854
C Clothier,NA,NA,APS,1860,1860
Joseph Cooper,NA,NA,APS,1851,1867
George Crosfield,NA,NA,APS,1838,1838
Joseph Crosland,NA,NA,APS,1866,1867
A Crowley,NA,NA,APS,1855,1863
A Dale,NA,NA,APS,1861,1861
Elizabeth S Dawes,NA,NA,APS,1867,1867
John Dodshon,NA,NA,APS,1860,1867
Daniel Doncaster,NA,NA,APS,1866,1867
Elizabeth Dyer,NA,NA,APS,1860,1867
R Dymond,NA,NA,APS,1862,1862
William Dyson,NA,NA,APS,1864,1865
William Dyster,NA,NA,APS,1840,1840
A Ellis,NA,NA,APS,1860,1862
Thomas Evans,NA,NA,APS,1860,1865
Ann Everett,NA,NA,APS,1839,1861
Joseph Farden,NA,NA,APS,1851,1866
John Fell,NA,NA,APS,1852,1852
Mary Fell,NA,NA,APS,1840,1840
S H Fisher,NA,NA,APS,1855,1855
Caleb Fletcher,NA,NA,APS,1854,1865
Martha Fletcher,NA,NA,APS,1854,1855
John Ford,NA,NA,APS,1854,1857
George Fox,NA,NA,APS,1862,1867
Henry Fox,NA,NA,APS,1862,1867
Robert Were Fox,NA,NA,APS,1838,1867
x Fox,NA,NA,APS,1861,1861
W Gayner,NA,NA,APS,1855,1855
Joseph Gibbens,NA,NA,APS,1860,1864
Ann Gibson,NA,NA,APS,1860,1865
Francis Gibson,NA,NA,APS,1840,1861
F  E Gibson,NA,NA,APS,1860,1861
W G Gibson,NA,NA,APS,1862,1862
T Gill,NA,NA,APS,1861,1862
J Gillett,NA,NA,APS,1863,1863
John Gillett,NA,NA,APS,1860,1863
J Gilpin,NA,NA,APS,1860,1862
James Gingell,NA,NA,APS,1860,1862
John Good,NA,NA,APS,1861,1867
Josiah Grace,NA,NA,APS,1860,1861
Thomas Graham,NA,NA,APS,1851,1858
John Green,NA,NA,APS,1860,1863
T Gregory,NA,NA,APS,1860,1862
G Grimshaw,NA,NA,APS,1861,1862
x Hadfield,NA,NA,APS,1864,1867
Isaac Hadwen,NA,NA,APS,1852,1865
Robert Harding,NA,NA,APS,1861,1867
Henry Harris,NA,NA,APS,1861,1867
Lydia Harris,NA,NA,APS,1840,1862
Thomas Harvey,NA,NA,APS,1852,1867
George Head,NA,NA,APS,1838,1865
Sarah Head,NA,NA,APS,1859,1867
H Headley,NA,NA,APS,1860,1860
W Hewitson,NA,NA,APS,1860,1860
Charles Hicks,NA,NA,APS,1862,1867
Elizabeth Hills,NA,NA,APS,1863,1867
James Hills,NA,NA,APS,1861,1861
