"Name","birth_year","death_year","Target","first_year","last_year"
William Adam,NA,NA,ESL,1844,1844
William (1) Adams,NA,NA,ESL,1844,1844
William (2) Adams,"1,820","1,900",ESL,1858,1871
Louis Agassiz,"1,807","1,873",ESL,1860,1871
Augustine Aglio,"1,777","1,857",ESL,1843,1845
William Francis Harrison Ainsworth,"1,807","1,896",ESL,1856,1860
Alexander Muirhead Aitken,NA,NA,ESL,1864,1871
Rutherford Alcock,"1,809","1,897",ESL,1862,1871
William Aldam,"1,813","1,890",ESL,1844,1848
William Allen,NA,NA,ESL,1858,1858
William Amhurst Tyssen Amhurst,"1,835","1,909",ESL,1862,1871
W  P Andrew,NA,NA,ESL,1844,1847
x Andrews,NA,NA,ESL,1850,1850
Matthew John Anketell,NA,NA,ESL,1861,1868
Thomas Chisholm Anstey,"1,816","1,873",ESL,1852,1863
x Antrim,"1,851","1,918",ESL,1870,1871
William Appleyard,NA,NA,ESL,1854,1871
Frederick Scott Archer,"1,813","1,857",ESL,1844,1851
William Armstrong,"1,810","1,900",ESL,1865,1871
William Arthur,"1,819","1,901",ESL,1853,1870
James Ashbury,"1,834","1,895",ESL,1867,1868
William Henry Ashurst,"1,819","1,879",ESL,1863,1871
Henry Ashworth,"1,794","1,880",ESL,1866,1868
Charles A Atkins,NA,NA,ESL,1862,1863
E Atkinson,NA,NA,ESL,1861,1861
Alois Auer,"1,813","1,869",ESL,1853,1869
Arthur Daniel Aulton,"1,828","1,889",ESL,1862,1863
Edward Backhouse,"1,808","1,879",ESL,1870,1871
James (1) Backhouse,"1,794","1,869",ESL,1869,1869
Carl Ernst von Baer,"1,792","1,876",ESL,1861,1871
John Bagehot,NA,NA,ESL,1865,1865
Walter ('Badgett') Bagehot,"1,826","1,877",ESL,1865,1871
John Baker,"1,813","1,872",ESL,1861,1871
Samuel C Baker,"1,821","1,893",ESL,1866,1871
William Bailey Baker,"1,828","1,865",ESL,1858,1871
George Balfour,"1,809","1,894",ESL,1865,1871
John Bannister,NA,NA,ESL,1846,1846
John  Wheeldon Barnes,"1,825","1,893",ESL,1870,1871
Robert Barnewall,NA,NA,ESL,1844,1847
John Stothert Bartrum,"1,817","1,904",ESL,1865,1871
Adolf Bastian,"1,826","1,905",ESL,1869,1871
Thomas Bateman,"1,821","1,861",ESL,1861,1861
Thomas Henry Baylis,"1,817","1,908",ESL,1870,1871
Lionel John Beale,"1,796","1,871",ESL,1853,1869
Frank Carr Beard,NA,NA,ESL,1853,1853
William Beattie,"1,793","1,875",ESL,1859,1863
Richard Beaumont,NA,NA,ESL,1856,1863
x Beechey,"1,796","1,856",ESL,1855,1856
James Bell,"1,818","1,872",ESL,1852,1862
John Bell (2),"1,811","1,895",ESL,1852,1855
Robert Bell,NA,NA,ESL,1844,1844
William Abraham Bell,"1,841","1,921",ESL,1869,1871
Lewis F Bellot,NA,NA,ESL,1844,1844
Richard Bentley,"1,794","1,871",ESL,1843,1844
Bartholomew Bernasconi,NA,NA,ESL,1850,1850
Thomas Bigg,NA,NA,ESL,1863,1867
R S Birkbeck,NA,NA,ESL,1869,1869
W H Black,NA,NA,ESL,1869,1869
William Blackmore,"1,827","1,878",ESL,1866,1871
J H Blackwell,NA,NA,ESL,1869,1869
Henry Jules Blanc,NA,NA,ESL,1866,1871
Henry George Bohn,"1,796","1,884",ESL,1861,1871
John Peter Boileau,"1,794","1,869",ESL,1860,1863
Henry James Bolding,NA,"1,888",ESL,1845,1845
William Bollaert,"1,807","1,876",ESL,1862,1870
Louis Lucien Bonaparte,"1,813","1,891",ESL,1862,1871
E Bonavia,NA,NA,ESL,1870,1871
George Bonavia,"1,818","1,901",ESL,1869,1871
George Bonham,"1,803","1,863",ESL,1861,1863
James Bonwick,"1,817","1,906",ESL,1869,1871
Beriah Botfield,"1,807","1,863",ESL,1844,1863
x Boucher de Crevecoeur de Perthes,"1,788","1,868",ESL,1861,1868
x Boudin,"1,806","1,867",ESL,1861,1867
x Bourien,NA,NA,ESL,1865,1865
Philip Bourjeaurd,NA,NA,ESL,1850,1856
Sydney Edward Bouverie Bouverie-Pusey,"1,839","1,911",ESL,1862,1871
Frederick Bower,NA,NA,ESL,1846,1846
Robert Bowie,NA,NA,ESL,1845,1845
John Bowring,"1,792","1,872",ESL,1844,1869
William Boxall,"1,800","1,879",ESL,1844,1850
Charles Holt Bracebridge,"1,799","1,872",ESL,1844,1871
Thomas Braddell,"1,823","1,891",ESL,1866,1871
James Brady,NA,NA,ESL,1844,1844
William Bragge,"1,823","1,884",ESL,1870,1871
Thomas Henry Brain,NA,NA,ESL,1846,1846
William Brent Brent,NA,"1,857",ESL,1844,1857
D J Breuneis,NA,NA,ESL,1850,1850
Edmund J Bridell,NA,NA,ESL,1843,1851
John Briggs,"1,785","1,875",ESL,1845,1871
Lindsay Brine,"1,834","1,906",ESL,1869,1871
Benjamin Collins Brodie,"1,783","1,862",ESL,1844,1862
Henry (1) Brookes,NA,NA,ESL,1868,1871
x Brougham,"1,778","1,868",ESL,1844,1868
John Brown,"1,801","1,879",ESL,1844,1844
J  Cave Browne,NA,NA,ESL,1861,1861
Henry Brunskill,NA,NA,ESL,1849,1849
Walter Buchannan,"1,797","1,883",ESL,1863,1863
James Silk Buckingham,"1,786","1,855",ESL,1844,1844
W E Buckley,NA,NA,ESL,1843,1856
James Wentworth Buller,"1,798","1,865",ESL,1861,1863
x Bunsen,"1,791","1,860",ESL,1853,1860
Luke Burke,NA,"1,885",ESL,1861,1864
George Busk,"1,807","1,886",ESL,1863,1871
Oliver Byrne,"1,810","1,890",ESL,1845,1847
Charles Duncan Cameron,NA,"1,870",ESL,1861,1869
Archibald Campbell,"1,805","1,874",ESL,1866,1871
George (1) Campbell,"1,824","1,892",ESL,1866,1870
George (2) Campbell,NA,NA,ESL,1862,1863
Walter Campbell,NA,NA,ESL,1870,1871
William Camps,NA,"1,887",ESL,1844,1871
