"person_name","gender_id","birth_year","death_year","data_source_id","ceda_id","religion_id","occupation_id","location_id","society_id","club_id"
Arthur William A Beckett,1,1844,1909,1,4,NA,1,1,NA,NA
Andrew Mercer Adam,1,NA,NA,1,4,NA,3,3,NA,NA
Andrew Mercer Adam,1,NA,NA,1,4,NA,4,3,NA,NA
H R Adam,1,NA,NA,1,4,NA,NA,4,NA,NA
H R Adam,1,NA,NA,1,6,NA,NA,4,NA,NA
William Adam,1,NA,NA,1,3,NA,5,NA,NA,NA
Henry John Adams,1,NA,NA,1,4,NA,NA,1,NA,NA
William (1) Adams,1,NA,NA,1,3,NA,NA,NA,NA,2
William (2) Adams,1,1820,1900,1,3,NA,3,1,2,NA
William (2) Adams,1,1820,1900,1,3,NA,3,1,3,NA
William (2) Adams,1,1820,1900,1,3,NA,3,1,5,NA
William (2) Adams,1,1820,1900,1,3,NA,3,1,6,NA
William (2) Adams,1,1820,1900,1,6,NA,3,1,2,NA
William (2) Adams,1,1820,1900,1,6,NA,3,1,3,NA
William (2) Adams,1,1820,1900,1,6,NA,3,1,5,NA
William (2) Adams,1,1820,1900,1,6,NA,3,1,6,NA
William Adlam,1,NA,NA,1,4,NA,NA,3,7,NA
Louis Agassiz,1,1807,1873,1,3,NA,7,5,NA,NA
Louis Agassiz,1,1807,1873,1,3,NA,8,5,NA,NA
Louis Agassiz,1,1807,1873,1,3,NA,9,5,NA,NA
Louis Agassiz,1,1807,1873,1,4,NA,7,5,NA,NA
Louis Agassiz,1,1807,1873,1,4,NA,8,5,NA,NA
Louis Agassiz,1,1807,1873,1,4,NA,9,5,NA,NA
Louis Agassiz,1,1807,1873,1,6,NA,7,5,NA,NA
Louis Agassiz,1,1807,1873,1,6,NA,8,5,NA,NA
Louis Agassiz,1,1807,1873,1,6,NA,9,5,NA,NA
Anastasius Agathides,1,1805,1881,1,4,NA,7,1,NA,NA
Augustine Aglio,1,1777,1857,1,3,NA,10,NA,NA,NA
Joseph Agnew,1,NA,NA,1,4,NA,3,6,NA,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,3,1,8,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,3,1,9,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,3,1,10,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,3,1,11,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,7,1,8,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,7,1,9,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,7,1,10,NA
William Francis Harrison Ainsworth,1,1807,1896,1,3,NA,7,1,11,NA
William Baird Airston,1,NA,NA,1,4,NA,3,6,2,NA
Alexander Muirhead Aitken,1,NA,NA,1,3,NA,11,1,NA,NA
Alexander Muirhead Aitken,1,NA,NA,1,3,NA,11,7,NA,NA
Alexander Muirhead Aitken,1,NA,NA,1,6,NA,11,1,NA,NA
Alexander Muirhead Aitken,1,NA,NA,1,6,NA,11,7,NA,NA
Thomas Aitken,1,NA,NA,1,4,NA,3,6,12,NA
Thomas Aitken,1,NA,NA,1,4,NA,3,6,13,NA
Rutherford Alcock,1,1809,1897,1,3,NA,13,8,NA,2
Rutherford Alcock,1,1809,1897,1,3,NA,13,9,NA,2
William Aldam,1,1813,1890,1,2,1,5,3,NA,NA
William Aldam,1,1813,1890,1,3,1,5,3,NA,NA
Frederick W Aley,1,NA,NA,1,4,NA,NA,1,14,NA
J  McGrigor Allan,1,NA,NA,1,4,NA,1,1,NA,NA
S  Stafford Allen,1,1840,1870,1,2,1,14,1,NA,NA
S  Stafford Allen,1,1840,1870,1,2,1,14,10,NA,NA
S  Stafford Allen,1,1840,1870,1,4,1,14,1,NA,NA
S  Stafford Allen,1,1840,1870,1,4,1,14,10,NA,NA
William Allen,1,NA,NA,1,2,NA,4,NA,NA,NA
William Allen,1,NA,NA,1,3,NA,4,NA,NA,NA
George Allin,1,NA,NA,1,4,NA,NA,1,NA,NA
George Allin,1,NA,NA,1,4,NA,NA,3,NA,NA
Charles Hamond Alpe,1,1837,1882,1,4,NA,NA,1,NA,NA
Crewe Alston,1,1828,1901,1,4,NA,NA,1,NA,NA
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,9,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,9,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,9,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,15,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,15,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,5,3,15,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,9,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,9,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,9,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,15,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,15,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,3,NA,15,3,15,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,9,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,9,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,9,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,15,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,15,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,5,3,15,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,9,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,9,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,9,4
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,15,2
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,15,3
William Amhurst Tyssen Amhurst,1,1835,1909,1,6,NA,15,3,15,4
George Amner,1,1873,1901,1,4,NA,16,3,NA,NA
Edward C Anderson,1,NA,NA,1,4,NA,3,1,2,NA
John Anderson,1,NA,NA,1,4,NA,3,3,16,NA
John Anderson,1,NA,NA,1,4,NA,4,3,16,NA
Joseph Anderson,1,1832,1916,1,4,NA,17,6,17,NA
Joseph Anderson,1,1832,1916,1,4,NA,18,6,17,NA
Joseph Anderson,1,1832,1916,1,4,NA,19,6,17,NA
Joseph Anderson,1,1832,1916,1,4,NA,20,6,17,NA
W  P Andrew,1,NA,NA,1,3,NA,NA,NA,NA,NA
x Andrews,1,NA,NA,1,3,NA,NA,NA,NA,NA
Matthew John Anketell,1,NA,NA,1,3,NA,NA,1,NA,NA
Thomas Chisholm Anstey,1,1816,1873,1,3,NA,5,1,NA,NA
Thomas Chisholm Anstey,1,1816,1873,1,3,NA,5,11,NA,NA
Thomas Chisholm Anstey,1,1816,1873,1,3,NA,11,1,NA,NA
Thomas Chisholm Anstey,1,1816,1873,1,3,NA,11,11,NA,NA
x Antrim,1,1851,1918,1,3,NA,21,3,NA,NA
x Antrim,1,1851,1918,1,3,NA,21,12,NA,NA
x Antrim,1,1851,1918,1,6,NA,21,3,NA,NA
x Antrim,1,1851,1918,1,6,NA,21,12,NA,NA
William Appleyard,1,NA,NA,1,3,NA,6,3,NA,NA
William Appleyard,1,NA,NA,1,6,NA,6,3,NA,NA
William Arbuthnot,1,NA,NA,1,4,NA,NA,1,NA,5
William Arbuthnot,1,NA,NA,1,6,NA,NA,1,NA,5
Frederick Scott Archer,1,1813,1857,1,3,NA,22,3,NA,NA
Frederick Scott Archer,1,1813,1857,1,3,NA,23,3,NA,NA
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,8,6
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,8,7
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,11,6
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,11,7
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,18,6
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,18,7
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,19,6
Richard Edward Arden,1,1804,1894,1,4,NA,11,3,19,7
Alexander Aria,1,NA,NA,1,4,NA,NA,1,NA,NA
William Armitage,1,1815,1903,1,4,NA,16,3,20,NA
William Armitage,1,1815,1903,1,6,NA,16,3,20,NA
T  B Armitstead,1,NA,NA,1,4,NA,NA,NA,NA,NA
William Armstrong,1,1810,1900,1,3,NA,16,1,21,2
William Armstrong,1,1810,1900,1,3,NA,16,3,21,2
William Armstrong,1,1810,1900,1,3,NA,21,1,21,2
William Armstrong,1,1810,1900,1,3,NA,21,3,21,2
William Armstrong,1,1810,1900,1,6,NA,16,1,21,2
William Armstrong,1,1810,1900,1,6,NA,16,3,21,2
William Armstrong,1,1810,1900,1,6,NA,21,1,21,2
William Armstrong,1,1810,1900,1,6,NA,21,3,21,2
Edward Arnold,1,NA,1872,1,4,NA,NA,3,22,NA
Edward Arnold,1,NA,1872,1,4,NA,NA,3,23,NA
Richard Arnold,1,1808,1876,1,4,NA,3,5,24,NA
Richard Arnold,1,1808,1876,1,4,NA,3,5,25,NA
Richard Arnold,1,1808,1876,1,6,NA,3,5,24,NA
Richard Arnold,1,1808,1876,1,6,NA,3,5,25,NA
William Arthur,1,1819,1901,1,3,NA,1,1,26,NA
William Arthur,1,1819,1901,1,3,NA,1,12,26,NA
William Arthur,1,1819,1901,1,3,NA,6,1,26,NA
William Arthur,1,1819,1901,1,3,NA,6,12,26,NA
William Arthur,1,1819,1901,1,4,NA,1,1,26,NA
William Arthur,1,1819,1901,1,4,NA,1,12,26,NA
William Arthur,1,1819,1901,1,4,NA,6,1,26,NA
William Arthur,1,1819,1901,1,4,NA,6,12,26,NA
William Arthur,1,1819,1901,1,6,NA,1,1,26,NA
William Arthur,1,1819,1901,1,6,NA,1,12,26,NA
William Arthur,1,1819,1901,1,6,NA,6,1,26,NA
William Arthur,1,1819,1901,1,6,NA,6,12,26,NA
Rodolph Arundell,1,1837,1877,1,4,NA,NA,1,NA,NA
