"Name","quaker","first_year","last_year","birth_year","death_year"
William Adam,NA,1844,1844,NA,NA
William (1) Adams,NA,1844,1844,NA,NA
William (2) Adams,NA,1858,1871,"1,820","1,900"
Louis Agassiz,NA,1860,1871,"1,807","1,873"
Augustine Aglio,NA,1843,1845,"1,777","1,857"
William Francis Harrison Ainsworth,NA,1856,1860,"1,807","1,896"
Alexander Muirhead Aitken,NA,1864,1871,NA,NA
Rutherford Alcock,NA,1862,1871,"1,809","1,897"
William Aldam,1,1844,1848,"1,813","1,890"
William Allen,NA,1858,1858,NA,NA
William Amhurst Tyssen Amhurst,NA,1862,1871,"1,835","1,909"
W  P Andrew,NA,1844,1847,NA,NA
x Andrews,NA,1850,1850,NA,NA
Matthew John Anketell,NA,1861,1868,NA,NA
Thomas Chisholm Anstey,NA,1852,1863,"1,816","1,873"
x Antrim,NA,1870,1871,"1,851","1,918"
William Appleyard,NA,1854,1871,NA,NA
Frederick Scott Archer,NA,1844,1851,"1,813","1,857"
William Armstrong,NA,1865,1871,"1,810","1,900"
William Arthur,NA,1853,1870,"1,819","1,901"
James Ashbury,NA,1867,1868,"1,834","1,895"
William Henry Ashurst,NA,1863,1871,"1,819","1,879"
Henry Ashworth,NA,1866,1868,"1,794","1,880"
Charles A Atkins,NA,1862,1863,NA,NA
E Atkinson,NA,1861,1861,NA,NA
Alois Auer,NA,1853,1869,"1,813","1,869"
Arthur Daniel Aulton,NA,1862,1863,"1,828","1,889"
Edward Backhouse,1,1870,1871,"1,808","1,879"
James (1) Backhouse,1,1869,1869,"1,794","1,869"
Carl Ernst von Baer,NA,1861,1871,"1,792","1,876"
John Bagehot,NA,1865,1865,NA,NA
Walter ('Badgett') Bagehot,NA,1865,1871,"1,826","1,877"
John Baker,NA,1861,1871,"1,813","1,872"
Samuel C Baker,NA,1866,1871,"1,821","1,893"
William Bailey Baker,NA,1858,1871,"1,828","1,865"
George Balfour,NA,1865,1871,"1,809","1,894"
John Bannister,NA,1846,1846,NA,NA
John  Wheeldon Barnes,NA,1870,1871,"1,825","1,893"
Robert Barnewall,NA,1844,1847,NA,NA
John Stothert Bartrum,NA,1865,1871,"1,817","1,904"
Adolf Bastian,NA,1869,1871,"1,826","1,905"
Thomas Bateman,NA,1861,1861,"1,821","1,861"
Thomas Henry Baylis,NA,1870,1871,"1,817","1,908"
Lionel John Beale,NA,1853,1869,"1,796","1,871"
Frank Carr Beard,NA,1853,1853,NA,NA
William Beattie,NA,1859,1863,"1,793","1,875"
Richard Beaumont,NA,1856,1863,NA,NA
x Beechey,NA,1855,1856,"1,796","1,856"
James Bell,1,1852,1862,"1,818","1,872"
John Bell (2),NA,1852,1855,"1,811","1,895"
Robert Bell,NA,1844,1844,NA,NA
William Abraham Bell,NA,1869,1871,"1,841","1,921"
Lewis F Bellot,NA,1844,1844,NA,NA
Richard Bentley,NA,1843,1844,"1,794","1,871"
Bartholomew Bernasconi,NA,1850,1850,NA,NA
Thomas Bigg,NA,1863,1867,NA,NA
R S Birkbeck,NA,1869,1869,NA,NA
W H Black,NA,1869,1869,NA,NA
William Blackmore,NA,1866,1871,"1,827","1,878"
J H Blackwell,NA,1869,1869,NA,NA
Henry Jules Blanc,NA,1866,1871,NA,NA
Henry George Bohn,NA,1861,1871,"1,796","1,884"
John Peter Boileau,NA,1860,1863,"1,794","1,869"
Henry James Bolding,NA,1845,1845,NA,"1,888"
William Bollaert,NA,1862,1870,"1,807","1,876"
Louis Lucien Bonaparte,NA,1862,1871,"1,813","1,891"
E Bonavia,NA,1870,1871,NA,NA
George Bonavia,NA,1869,1871,"1,818","1,901"
George Bonham,NA,1861,1863,"1,803","1,863"
James Bonwick,NA,1869,1871,"1,817","1,906"
Beriah Botfield,NA,1844,1863,"1,807","1,863"
x Boucher de Crevecoeur de Perthes,NA,1861,1868,"1,788","1,868"
x Boudin,NA,1861,1867,"1,806","1,867"
x Bourien,NA,1865,1865,NA,NA
Philip Bourjeaurd,NA,1850,1856,NA,NA
Sydney Edward Bouverie Bouverie-Pusey,NA,1862,1871,"1,839","1,911"
Frederick Bower,NA,1846,1846,NA,NA
Robert Bowie,NA,1845,1845,NA,NA
John Bowring,NA,1844,1869,"1,792","1,872"
William Boxall,NA,1844,1850,"1,800","1,879"
Charles Holt Bracebridge,NA,1844,1871,"1,799","1,872"
Thomas Braddell,NA,1866,1871,"1,823","1,891"
James Brady,NA,1844,1844,NA,NA
William Bragge,NA,1870,1871,"1,823","1,884"
Thomas Henry Brain,NA,1846,1846,NA,NA
William Brent Brent,NA,1844,1857,NA,"1,857"
D J Breuneis,NA,1850,1850,NA,NA
Edmund J Bridell,NA,1843,1851,NA,NA
John Briggs,NA,1845,1871,"1,785","1,875"
Lindsay Brine,NA,1869,1871,"1,834","1,906"
Benjamin Collins Brodie,NA,1844,1862,"1,783","1,862"
Henry (1) Brookes,NA,1868,1871,NA,NA
x Brougham,NA,1844,1868,"1,778","1,868"
John Brown,NA,1844,1844,"1,801","1,879"
J  Cave Browne,NA,1861,1861,NA,NA
Henry Brunskill,NA,1849,1849,NA,NA
Walter Buchannan,NA,1863,1863,"1,797","1,883"
James Silk Buckingham,NA,1844,1844,"1,786","1,855"
W E Buckley,NA,1843,1856,NA,NA
James Wentworth Buller,NA,1861,1863,"1,798","1,865"
x Bunsen,NA,1853,1860,"1,791","1,860"
Luke Burke,NA,1861,1864,NA,"1,885"
George Busk,NA,1863,1871,"1,807","1,886"
Oliver Byrne,NA,1845,1847,"1,810","1,890"
Charles Duncan Cameron,NA,1861,1869,NA,"1,870"
Archibald Campbell,NA,1866,1871,"1,805","1,874"
George (1) Campbell,NA,1866,1870,"1,824","1,892"
George (2) Campbell,NA,1862,1863,NA,NA
Walter Campbell,NA,1870,1871,NA,NA
William Camps,NA,1844,1871,NA,"1,887"
Frederick Stanley Carpenter,NA,1866,1871,"1,817","1,890"
George Carter,NA,1860,1860,NA,NA
Richard Cavendish,NA,1864,1867,"1,794","1,876"
Edwin Chadwick,NA,1845,1848,"1,800","1,890"
Hugo Mavesyn Chadwick,NA,1852,1854,"1,793","1,854"
Charles Harcourt Chambers,NA,1862,1871,"1,826","1,876"
Escott Chambers,NA,1869,1869,NA,NA
William Charlton,NA,1855,1871,"1,814","1,880"
Frederick Chatfield,NA,1860,1862,"1,801","1,872"
William Dinsdale Child,NA,1844,1871,NA,"1,879"
Robert Walker Childs,NA,1844,1844,NA,NA
T J Cholmondeley,NA,1868,1871,"1,818","1,883"
William Dingle Chowne,NA,1844,1844,"1,791","1,870"
Henry Christy,1,1854,1865,"1,810","1,865"
James Graham Churcher,NA,1862,1863,NA,NA
x Clark,NA,1843,1848,NA,NA
James Clark,NA,1844,1870,"1,788","1,870"
C Clarke,NA,1843,1843,NA,NA
Hyde Clarke,NA,1867,1867,"1,815","1,895"
John Clarke,NA,1855,1855,"1,802","1,879"
Robert Clarke,NA,1862,1871,NA,NA
William Aloysius Clavering,NA,1861,1871,"1,800","1,872"
William Clay,1,1861,1868,"1,791","1,869"
John Clendinning,NA,1844,1848,NA,NA
William Clift,NA,1844,1849,"1,775","1,849"
Edward North Clifton,NA,1844,1844,NA,NA
Thomas Coates,NA,1844,1844,NA,NA
W  Spencer Cockings,NA,1862,1866,NA,NA
Thomas Edward Colebrooke,NA,1860,1871,"1,813","1,890"
John Sherrard Coleman,NA,1854,1871,"1,828","1,905"
x Collier,1,1844,1844,NA,NA
W W Collins,NA,1862,1871,NA,"1,880"
x Colonsay,NA,1867,1871,"1,793","1,874"
John Conolly,NA,1851,1855,"1,794","1,866"
George Ford Copeland,NA,1861,1871,"1,810","1,873"
Tullie Cornthwaite,NA,1845,1871,"1,807",NA
W Coulson,NA,1844,1844,"1,795","1,860"
John Crawfurd,NA,1847,1868,"1,783","1,868"
Oswald John Crawfurd,NA,1861,1871,"1,834","1,909"
W J Crichton,NA,1862,1868,NA,NA
J  McGregor Croft,NA,1860,1862,NA,NA
Thomas Francis Dillon Croker,NA,1857,1871,"1,831","1,912"
Jonathan Sparrow Crowley,NA,1862,1867,"1,826","1,888"
Richard Cull,NA,1845,1857,NA,"1,892"
Henry Syer Cuming,NA,1844,1844,"1,817","1,902"
Richard S Cunliffe,NA,1855,1871,NA,"1,879"
Alexander Cunningham,NA,1869,1871,"1,814","1,893"
Manockjee Cursetjee,NA,1865,1868,"1,808","1,887"
George Cutler,NA,1860,1871,NA,NA
Marie-Armand de Castera-Macaya D'Avezac,NA,1855,1871,"1,798","1,875"
T Dakin,NA,1856,1856,NA,NA
David Dale,1,1860,1863,"1,829","1,906"
G  Wythes Daniell,NA,1858,1871,NA,NA
William Freeman Daniell,NA,1843,1865,"1,818","1,865"
Robert Dukinfield Darbishire,NA,1868,1871,"1,826","1,908"
P  Francis Dart,NA,1843,1851,NA,NA
Charles Darwin,NA,1861,1871,"1,809","1,882"
Erasmus (Ras) Darwin,NA,1862,1863,"1,804","1,881"
George Webbe Dasent,NA,1860,1860,"1,817","1,896"
George Henry Daw,NA,1868,1871,NA,NA
William Boyd Dawkins,NA,1869,1871,"1,837","1,929"
G T Day,NA,1844,1844,NA,NA
George Dennis,NA,1869,1869,"1,814","1,898"
M Des Barres,NA,1851,1862,"1,800","1,885"
x Devonshire,NA,1862,1871,"1,808","1,891"
Hugh Welch Diamond,NA,1846,1852,"1,809","1,886"
John jun Dickinson,NA,1865,1871,NA,NA
John Jun Dickinson,NA,1861,1869,"1,782","1,869"
Henry Dickman,NA,1862,1869,NA,NA
Charles Sheffield Dickson,NA,1848,1848,NA,NA
Peter Dickson,NA,1866,1867,NA,NA
Charles Wentworth Dilke,NA,1870,1871,"1,843","1,911"
Jacob Ludwig Dohne,NA,1856,1871,"1,811","1,879"
Cornelius Donovan,NA,1863,1869,"1,820","1,872"
Gustavus Dressler,NA,1844,1844,NA,NA
x Dublin,NA,1844,1863,"1,787","1,863"
Samuel Duckworth,NA,1844,1848,NA,NA
William Duckworth,NA,1863,1868,"1,795","1,876"
David Duncan,NA,1870,1871,"1,839","1,923"
Peter Martin Duncan,NA,1869,1869,"1,824","1,891"
R  Murray Dundas,NA,1843,1845,NA,NA
Alfred John Dunkin,NA,1868,1871,"1,812","1,879"
Robert Dunn,NA,1844,1871,"1,799","1,877"
x Dunraven & Mountearl,NA,1870,1871,"1,812","1,871"
Patrick Frederick Durham,NA,1843,1849,NA,NA
William Thistleton Dyer,NA,1845,1850,NA,NA
George Windsor Earl,NA,1862,1862,"1,813","1,865"
Joseph William Eastwood,NA,1862,1871,"1,828","1,916"
John Edwards,NA,1870,1871,NA,NA
Francis Egerton,NA,1844,1857,"1,800","1,857"
George Granville Francis Egerton,NA,1857,1862,"1,823","1,862"
x Egypt,NA,1862,1863,"1,822","1,863"
John Elder,NA,1855,1855,"1,824","1,869"
Walter Elliot,NA,1869,1871,"1,803","1,887"
J H Elliott,NA,1849,1849,NA,NA
James Ellis,NA,1862,1862,NA,NA
John Elphinstone,NA,1844,1854,NA,"1,854"
Mountstuart Elphinstone,NA,1844,1859,"1,779","1,859"
John E Erichsen,NA,1843,1847,"1,818","1,896"
William Erle,NA,1863,1871,"1,793","1,880"
Kennedy Erskine,NA,1861,1861,"1,828","1,870"
William Euing,NA,1866,1871,"1,788","1,874"
John Evans,NA,1861,1871,"1,823","1,908"
William Fairbairn,NA,1863,1871,"1,789","1,874"
Adam Storey Farrar,NA,1870,1871,"1,826","1,905"
Adolphe Duchart Fauvet,NA,1843,1847,NA,NA
W S Featherstone,NA,1846,1846,NA,NA
Edwin Foxton Firby,NA,1864,1871,NA,NA
James Firm,NA,1854,1871,NA,NA
Anthony Lax Fisher,NA,1863,1867,NA,NA
Morton Coates Fisher,NA,1870,1871,NA,NA
Robert Fitzroy,NA,1851,1863,"1,805","1,865"
William S Fitzwilliam,NA,1868,1871,NA,NA
James William Fleming,NA,1861,1863,NA,NA
John B Fletcher,NA,1847,1847,NA,NA
Joseph Fletcher,NA,1844,1852,NA,"1,852"
John Wickham Flower,NA,1869,1871,"1,807","1,873"
George Folsom,NA,1866,1869,"1,802","1,869"
David Forbes,NA,1869,1871,"1,828","1,876"
Richard Fort,NA,1864,1868,"1,822","1,868"
G A Forteath,NA,1844,1844,"1,819","1,862"
Robert Nicholas Fowler,1,1851,1871,"1,828","1,891"
William Fowler,1,1851,1851,NA,NA
Charles Henry Fox,1,1861,1871,NA,NA
Augustus Wollaston Franks,NA,1863,1871,"1,826","1,897"
Thomas Fraser,NA,1865,1871,"1,808","1,891"
William Freund,NA,1853,1871,"1,806","1,894"
John Friend,NA,1851,1852,NA,NA
Albert Fytche,NA,1866,1871,"1,820","1,892"
Griffin Curtis Galt,NA,1845,1845,NA,NA
