,Source,Target,religion_name,first_year,last_year
0,William Spicer Wood,APS,Quaker,1864,1867
3,William Wilson,APS,Quaker,1838,1865
5,James Wilson,APS,Quaker,1862,1867
7,E T Wakefield,APS,Quaker,1853,1864
9,John Ross,APS,Quaker,1839,1852
10,J Robinson,APS,Quaker,1839,1840
12,William Horton Lloyd,APS,Quaker,1862,1862
14,Joseph Lister,APS,Quaker,1851,1855
16,Jonathan Hutchinson,APS,Quaker,1857,1866
19,William Holmes,APS,Quaker,1840,1867
22,Thomas (1) Hodgkin,APS,Quaker,1838,1866
24,John Henry Gurney,APS,Quaker,1851,1860
26,George Stacey Gibson,APS,Quaker,1851,1863
28,Charles Henry Fox,APS,Quaker,1838,1852
31,William Fowler,APS,Quaker,1860,1867
33,Robert Nicholas Fowler,APS,Quaker,1851,1867
36,James T J Doyle,APS,Quaker,1839,1840
38,David Dale,APS,Quaker,1864,1865
40,Henry Crowley,APS,Quaker,1851,1855
43,x Collier,APS,Quaker,1860,1867
45,William Clay,APS,Quaker,1839,1868
47,Henry Christy,APS,Quaker,1840,1865
49,Charles Buxton,APS,Quaker,1851,1867
51,William Bull,APS,Quaker,1854,1854
54,Antonio Brady,APS,Quaker,1861,1863
57,James Bell,APS,Quaker,1847,1862
59,James (1) Backhouse,APS,Quaker,1851,1867
61,Edward Backhouse,APS,Quaker,1839,1867
64,S  Stafford Allen,APS,Quaker,1861,1867
66,William Aldam,APS,Quaker,1838,1848
68,Arthur Albright,APS,Quaker,1861,1867
69,Rachel Albright,APS,Quaker,1860,1867
70,William Albright,APS,Quaker,1852,1860
71,William Jun Aldam,APS,Quaker,1838,1851
72,Frederick Alexander,APS,Quaker,1839,1840
73,Samuel Allen,APS,Quaker,1851,1864
74,John Arch,APS,Quaker,1852,1854
75,R Arthington,APS,Quaker,1855,1862
76,R Jun Arthington,APS,Quaker,1860,1862
77,C Ashby,APS,Quaker,1860,1860
78,T Jun Ashby,APS,Quaker,1861,1862
79,Thomas Ashby,APS,Quaker,1861,1867
80,Thomas Jun Ashby,APS,Quaker,1865,1865
81,Catherine Backhouse,APS,Quaker,1851,1861
82,Jonathan Backhouse,APS,Quaker,1838,1851
83,S Baker,APS,Quaker,1839,1840
84,Robert Barclay,APS,Quaker,1838,1855
85,Richard Barrington,APS,Quaker,1864,1867
86,Edward Beck,APS,Quaker,1838,1859
87,Eliza Bell,APS,Quaker,1851,1867
88,Frederick J Bell,APS,Quaker,1851,1857
89,S S Bell,APS,Quaker,1857,1866
90,Samuel Bewley,APS,Quaker,1866,1867
91,x Biffin,APS,Quaker,1861,1861
92,J Binyon,APS,Quaker,1856,1857
93,E L Birkbeck,APS,Quaker,1866,1866
94,H Birkbeck,APS,Quaker,1860,1860
95,W Blaine,APS,Quaker,1861,1862
96,Elizabeth Bowley,APS,Quaker,1860,1867
97,Henry Brady,APS,Quaker,1866,1867
98,Charles L Braithwaite,APS,Quaker,1866,1866
99,L Braithwaite,APS,Quaker,1860,1860
100,Isaac Brown,APS,Quaker,1839,1867
101,Joshua Brown,APS,Quaker,1860,1867
102,Lydia Brown,APS,Quaker,1862,1867
103,Sarah Burgess,APS,Quaker,1866,1867
104,Thomas Burgess,APS,Quaker,1860,1861
105,Thomas Fowell Buxton,APS,Quaker,1838,1867
106,W Catchpool,APS,Quaker,1855,1859
107,x Charleton,APS,Quaker,1860,1860
108,Samuel Clark,APS,Quaker,1839,1840
109,W Clemes,APS,Quaker,1853,1854
110,C Clothier,APS,Quaker,1860,1860
111,Joseph Cooper,APS,Quaker,1851,1867
112,George Crosfield,APS,Quaker,1838,1838
113,Joseph Crosland,APS,Quaker,1866,1867
114,A Crowley,APS,Quaker,1855,1863
115,A Dale,APS,Quaker,1861,1861
116,Elizabeth S Dawes,APS,Quaker,1867,1867
117,John Dodshon,APS,Quaker,1860,1867
118,Daniel Doncaster,APS,Quaker,1866,1867
119,Elizabeth Dyer,APS,Quaker,1860,1867
120,R Dymond,APS,Quaker,1862,1862
121,William Dyson,APS,Quaker,1864,1865
122,A Ellis,APS,Quaker,1860,1862
123,Thomas Evans,APS,Quaker,1860,1865
124,Ann Everett,APS,Quaker,1839,1861
125,Joseph Farden,APS,Quaker,1851,1866
126,John Fell,APS,Quaker,1852,1852
127,Mary Fell,APS,Quaker,1840,1840
128,S H Fisher,APS,Quaker,1855,1855
129,Caleb Fletcher,APS,Quaker,1854,1865
130,Martha Fletcher,APS,Quaker,1854,1855
131,John Ford,APS,Quaker,1854,1857
132,George Fox,APS,Quaker,1862,1867
133,Henry Fox,APS,Quaker,1862,1867
134,Robert Were Fox,APS,Quaker,1838,1867
135,x Fox,APS,Quaker,1861,1861
136,W Gayner,APS,Quaker,1855,1855
137,Joseph Gibbens,APS,Quaker,1860,1864
138,Ann Gibson,APS,Quaker,1860,1865
139,Francis Gibson,APS,Quaker,1840,1861
140,F  E Gibson,APS,Quaker,1860,1861
141,W G Gibson,APS,Quaker,1862,1862
142,T Gill,APS,Quaker,1861,1862
143,J Gillett,APS,Quaker,1863,1863
144,John Gillett,APS,Quaker,1860,1863
145,J Gilpin,APS,Quaker,1860,1862
146,James Gingell,APS,Quaker,1860,1862
147,John Good,APS,Quaker,1861,1867
148,Josiah Grace,APS,Quaker,1860,1861
149,Thomas Graham,APS,Quaker,1851,1858
150,John Green,APS,Quaker,1860,1863
151,T Gregory,APS,Quaker,1860,1862
152,G Grimshaw,APS,Quaker,1861,1862
153,x Hadfield,APS,Quaker,1864,1867
154,Isaac Hadwen,APS,Quaker,1852,1865
155,Robert Harding,APS,Quaker,1861,1867
156,Henry Harris,APS,Quaker,1861,1867
157,Lydia Harris,APS,Quaker,1840,1862
158,Thomas Harvey,APS,Quaker,1852,1867
159,George Head,APS,Quaker,1838,1865
160,Sarah Head,APS,Quaker,1859,1867
161,H Headley,APS,Quaker,1860,1860
162,W Hewitson,APS,Quaker,1860,1860
163,Charles Hicks,APS,Quaker,1862,1867
164,Elizabeth Hills,APS,Quaker,1863,1867
165,James Hills,APS,Quaker,1861,1861
166,John Hills,APS,Quaker,1853,1864
167,Gurney Hoare,APS,Quaker,1838,1840
168,Maria Hooper,APS,Quaker,1860,1862
169,J Hopkins,APS,Quaker,1839,1860
170,Rebecca Hopkins,APS,Quaker,1860,1867
171,Mary Horsnail,APS,Quaker,1851,1857
172,Elizabeth Howard (2),APS,Quaker,1860,1867
173,Elizabeth Howard,APS,Quaker,1851,1865
174,Thomas Hughes,APS,Quaker,1867,1867
175,Henry Hunt,APS,Quaker,1838,1861
176,T Hunt,APS,Quaker,1862,1862
177,J Hurnard,APS,Quaker,1860,1861
178,John C Isaac,APS,Quaker,1855,1867
179,John James,APS,Quaker,1860,1860
180,Charles Janson,APS,Quaker,1861,1866
181,Samuel Jesper,APS,Quaker,1851,1852
182,Benjamin Jowett (2),APS,Quaker,1852,1867
183,John Jun Jowett,APS,Quaker,1851,1851
184,Robert Jowett (2),APS,Quaker,1852,1862
185,John King,APS,Quaker,1860,1862
186,Samuel King,APS,Quaker,1860,1867
187,Thomas King,APS,Quaker,1838,1840
188,Alfred Kitching,APS,Quaker,1860,1866
189,C Knight,APS,Quaker,1839,1839
190,John Lee,APS,Quaker,1851,1865
191,x Leitch,APS,Quaker,1847,1849
192,Thomas Letchmore,APS,Quaker,1860,1860
193,Thomas x Jun Letchmore,APS,Quaker,1860,1860
194,Thomas Letchworth,APS,Quaker,1862,1867
195,Thomas Jun Letchworth,APS,Quaker,1864,1866
196,Thomas x Jun Letchworth,APS,Quaker,1862,1865
197,S Lloyd,APS,Quaker,1865,1865
198,Edward Lucas,APS,Quaker,1852,1867
199,Rebecca Lucas,APS,Quaker,1851,1867
200,Thomas Marriage,APS,Quaker,1861,1862
201,John Marsh,APS,Quaker,1860,1867
202,R Marsh,APS,Quaker,1860,1861
203,William Matthews,APS,Quaker,1862,1866
204,William Mattravers,APS,Quaker,1839,1840
205,D Miller,APS,Quaker,1853,1859
206,John Morrison,APS,Quaker,1839,1851
207,E Neave,APS,Quaker,1861,1861
208,Mary Overend,APS,Quaker,1851,1855
209,W J Palmer,APS,Quaker,1862,1866
210,J Pears,APS,Quaker,1839,1851
211,Edward Priestman (2),APS,Quaker,1866,1866
212,John Priestman,APS,Quaker,1852,1862
213,James Ransome,APS,Quaker,1839,1862
214,Robert Ransome,APS,Quaker,1839,1865
215,William Rathbone,APS,Quaker,1839,1867
216,J Jun Read,APS,Quaker,1839,1840
217,Edward Richardson,APS,Quaker,1839,1861
218,Henry Richardson,APS,Quaker,1860,1867
219,W Richardson,APS,Quaker,1860,1861
220,R M Rickman,APS,Quaker,1862,1862
221,S Rickman,APS,Quaker,1838,1838
222,J Rooke,APS,Quaker,1860,1860
223,Alfred Rosling,APS,Quaker,1861,1866
224,John S Rowntree,APS,Quaker,1866,1866
225,Joseph Rowntree,APS,Quaker,1851,1855
226,Samuel Rundall,APS,Quaker,1839,1839
227,Henry Russell,APS,Quaker,1851,1853
228,Joseph Sams,APS,Quaker,1838,1855
229,J A Sanders,APS,Quaker,1861,1861
230,Mary Sansom,APS,Quaker,1855,1855
231,Micheal Scatterthwaite,APS,Quaker,1861,1861
232,S Scatterthwaite,APS,Quaker,1861,1862
233,Benjamin Seebohm,APS,Quaker,1865,1866
234,William Seebohm,APS,Quaker,1839,1861
235,Charles Sessions,APS,Quaker,1859,1866
236,Robert Simpson,APS,Quaker,1860,1867
237,Alfred Smith,APS,Quaker,1862,1862
238,Edward Smith,APS,Quaker,1862,1865
239,Richard Smith,APS,Quaker,1857,1867
240,Ann Snowden,APS,Quaker,1865,1867
241,C Southall,APS,Quaker,1861,1861
242,William Southall,APS,Quaker,1862,1866
243,William Sparkes,APS,Quaker,1861,1867
244,Joseph F Spence,APS,Quaker,1854,1867
245,L Squire,APS,Quaker,1839,1840
246,Mary Steevens,APS,Quaker,1861,1861
247,Henry Sterry,APS,Quaker,1851,1867
248,Richard Sterry,APS,Quaker,1851,1865
249,John Stevens,APS,Quaker,1839,1840
250,Joseph Sturge (Mrs),APS,Quaker,1838,1866
251,Sarah Styles,APS,Quaker,1866,1866
252,George N Tatham,APS,Quaker,1851,1852
253,Mary Ann Tatham,APS,Quaker,1851,1867
254,Edward Taylor,APS,Quaker,1861,1865
255,F Taylor,APS,Quaker,1861,1861
256,H Taylor,APS,Quaker,1861,1861
257,A Thistlethwaite,APS,Quaker,1860,1860
258,F J Thompson,APS,Quaker,1860,1867
259,Josiah Thompson,APS,Quaker,1861,1862
260,Thomas Thompson,APS,Quaker,1862,1862
261,W Thompson,APS,Quaker,1860,1862
262,George Treffry,APS,Quaker,1860,1867
263,Frederick Tuckett,APS,Quaker,1851,1854
264,W Tuke,APS,Quaker,1860,1860
265,Thomas Turner,APS,Quaker,1862,1867
266,James E Veale,APS,Quaker,1851,1867
267,Jonathan Walker,APS,Quaker,1860,1867
268,Ann Wallis,APS,Quaker,1851,1867
269,John Warner,APS,Quaker,1839,1840
270,Alfred Waterhouse,APS,Quaker,1861,1867
271,Mary Waterhouse,APS,Quaker,1852,1852
272,R Waterhouse,APS,Quaker,1861,1862
273,Thomas Wedmore,APS,Quaker,1861,1864
274,James Wells,APS,Quaker,1861,1861
275,Daniel Wheeler,APS,Quaker,1839,1839
276,W Whiting,APS,Quaker,1861,1861
277,John Jun Williams,APS,Quaker,1838,1838
278,W R Williams,APS,Quaker,1860,1860
279,Charles Wilson,APS,Quaker,1867,1867
280,George Wilson,APS,Quaker,1861,1867
281,Isaac Wilson,APS,Quaker,1838,1840
282,Joseph Wilson,APS,Quaker,1839,1839
283,Rebecca Wilson,APS,Quaker,1839,1861
284,H Wise,APS,Quaker,1839,1840
285,William Woods,APS,Quaker,1865,1865
286,Louisa Wright,APS,Quaker,1862,1867
292,Henry Knight,APS,Quaker,1852,1858
299,John Thomas Barry,APS,Quaker,1852,1853
301,Peter Bedford,APS,Quaker,1860,1860
303,John Bell,APS,Quaker,1838,1840
305,Thomas Christy,APS,Quaker,1839,1840
308,Josiah Forster,APS,Quaker,1838,1867
310,Robert Forster,APS,Quaker,1860,1867
312,William Forster,APS,Quaker,1838,1840
318,Robert Howard,APS,Quaker,1838,1840
320,John Kitching,APS,Quaker,1860,1866
322,Joseph Neatby,APS,Quaker,1851,1852
