"Source","Target","first_year","last_year","birth_year","death_year"
William Adam,ESL,1844,1844,NA,NA
William (1) Adams,ESL,1844,1844,NA,NA
William (2) Adams,ESL,1858,1871,"1,820","1,900"
Louis Agassiz,ESL,1860,1871,"1,807","1,873"
Augustine Aglio,ESL,1843,1845,"1,777","1,857"
William Francis Harrison Ainsworth,ESL,1856,1860,"1,807","1,896"
Alexander Muirhead Aitken,ESL,1864,1871,NA,NA
Rutherford Alcock,ESL,1862,1871,"1,809","1,897"
William Aldam,ESL,1844,1848,"1,813","1,890"
William Allen,ESL,1858,1858,NA,NA
William Amhurst Tyssen Amhurst,ESL,1862,1871,"1,835","1,909"
W  P Andrew,ESL,1844,1847,NA,NA
x Andrews,ESL,1850,1850,NA,NA
Matthew John Anketell,ESL,1861,1868,NA,NA
Thomas Chisholm Anstey,ESL,1852,1863,"1,816","1,873"
x Antrim,ESL,1870,1871,"1,851","1,918"
William Appleyard,ESL,1854,1871,NA,NA
Frederick Scott Archer,ESL,1844,1851,"1,813","1,857"
William Armstrong,ESL,1865,1871,"1,810","1,900"
William Arthur,ESL,1853,1870,"1,819","1,901"
James Ashbury,ESL,1867,1868,"1,834","1,895"
William Henry Ashurst,ESL,1863,1871,"1,819","1,879"
Henry Ashworth,ESL,1866,1868,"1,794","1,880"
Charles A Atkins,ESL,1862,1863,NA,NA
E Atkinson,ESL,1861,1861,NA,NA
Alois Auer,ESL,1853,1869,"1,813","1,869"
Arthur Daniel Aulton,ESL,1862,1863,"1,828","1,889"
Edward Backhouse,ESL,1870,1871,"1,808","1,879"
James (1) Backhouse,ESL,1869,1869,"1,794","1,869"
Carl Ernst von Baer,ESL,1861,1871,"1,792","1,876"
John Bagehot,ESL,1865,1865,NA,NA
Walter ('Badgett') Bagehot,ESL,1865,1871,"1,826","1,877"
John Baker,ESL,1861,1871,"1,813","1,872"
Samuel C Baker,ESL,1866,1871,"1,821","1,893"
William Bailey Baker,ESL,1858,1871,"1,828","1,865"
George Balfour,ESL,1865,1871,"1,809","1,894"
John Bannister,ESL,1846,1846,NA,NA
John  Wheeldon Barnes,ESL,1870,1871,"1,825","1,893"
Robert Barnewall,ESL,1844,1847,NA,NA
John Stothert Bartrum,ESL,1865,1871,"1,817","1,904"
Adolf Bastian,ESL,1869,1871,"1,826","1,905"
Thomas Bateman,ESL,1861,1861,"1,821","1,861"
Thomas Henry Baylis,ESL,1870,1871,"1,817","1,908"
Lionel John Beale,ESL,1853,1869,"1,796","1,871"
Frank Carr Beard,ESL,1853,1853,NA,NA
William Beattie,ESL,1859,1863,"1,793","1,875"
Richard Beaumont,ESL,1856,1863,NA,NA
x Beechey,ESL,1855,1856,"1,796","1,856"
James Bell,ESL,1852,1862,"1,818","1,872"
John Bell (2),ESL,1852,1855,"1,811","1,895"
Robert Bell,ESL,1844,1844,NA,NA
William Abraham Bell,ESL,1869,1871,"1,841","1,921"
Lewis F Bellot,ESL,1844,1844,NA,NA
