"Source","Target"
William (1) Adams,Athenaeum Club
Rutherford Alcock,Athenaeum Club
William Amhurst Tyssen Amhurst,Athenaeum Club
William Amhurst Tyssen Amhurst,Marlborough Club
William Amhurst Tyssen Amhurst,Carlton Club
William Arbuthnot,Oriental Club
Richard Edward Arden,National Club
Richard Edward Arden,Junior Athenaeum Club
William Armstrong,Athenaeum Club
William Henry Ashurst,Reform Club
William Henry Ashurst,Arts Club
Charles Cardale Babington,Athenaeum Club
Walter ('Badgett') Bagehot,Athenaeum Club
James Bain,Junior Carlton Club
Samuel C Baker,Athenaeum Club
George Balfour,Athenaeum Club
Thomas Squire Barrett,New Athenaeum Club
Alfred Barton,Oriental Club
Hugh J C Beavan,Grafton Club
Hugh J C Beavan,Cannibal Club
Hugh J C Beavan,Junior Carlton Club
William Abraham Bell,New University Club
Edward Bellamy,Nationalist Club
Edward Bellamy,Cannibal Club
Henry Walter Bellew,Athenaeum Club
Thomas Bendyshe,Cannibal Club
Charles Bennett,Thatched House Club
John Bennett,Athenaeum Club
Andrew Black,Glasgow Art Club
T A Blakely,Army & Navy Club
T A Blakely,Royal Victoria Yacht Club
Sydney L Blanchard,Arundel Club
Louis Lucien Bonaparte,Athenaeum Club
George Bonham,Athenaeum Club
T  George Bonney,Athenaeum Club
Charles Booth,Athenaeum Club
Beriah Botfield,Athenaeum Club
Sydney Edward Bouverie Bouverie-Pusey,Athenaeum Club
John Bowring,Athenaeum Club
William Boxall,Athenaeum Club
Edward William Brabrook,Athenaeum Club
Edward William Brabrook,Colquehoun Club
Charles Holt Bracebridge,Athenaeum Club
James Brebner,Spalding Club
John Briggs,Athenaeum Club
John Briggs,Oriental Club
Lindsay Brine,Army & Navy Club
Lindsay Brine,Athenaeum Club
Bernard Edward Brodhurst,Athenaeum Club
Benjamin Collins Brodie,Athenaeum Club
P B Brodie,Woolhope Naturalists Field Club
James Brooke,Athenaeum Club
x Brown-Sequard,Sugar Club
W E Buckley,Athenaeum Club
James Wentworth Buller,Athenaeum Club
George Busk,Athenaeum Club
Benjamin Bond Cabbell,Athenaeum Club
Charles Duncan Cameron,Cannibal Club
George (1) Campbell,Athenaeum Club
Samuel Cartwright,Athenaeum Club
Richard Cavendish,Athenaeum Club
Edwin Chadwick,Athenaeum Club
John Henry Challis,Reform Club
Charles Harcourt Chambers,Athenaeum Club
Edward Charlesworth,Whittington Club
Frederick Chatfield,Athenaeum Club
x Clarendon,Athenaeum Club
James Clark,Athenaeum Club
William Aloysius Clavering,Athenaeum Club
William Clay,Athenaeum Club
John (1) Cleghorn,Union Club
Vicat Cole,Athenaeum Club
Thomas Edward Colebrooke,Athenaeum Club
John Frederick Collingwood,New Athenaeum Club
John Frederick Collingwood,Cannibal Club
John Frederick Collingwood,Science Club
S  Edwin Collingwood,Cannibal Club
x Colonsay,"New Club, Edinburgh"
x Colonsay,Athenaeum Club
John Conolly,Athenaeum Club
W Coulson,Athenaeum Club
Robert Crawford,Reform Club
Frederick A B Crawfurd,United Service Club
John Crawfurd,Athenaeum Club
Oswald John Crawfurd,Athenaeum Club
Oswald John Crawfurd,Garrick Club
Oswald John Crawfurd,Sesame Club
Alexander Cunningham,Athenaeum Club
Edward Barrett Hodges Curteis,Conservative Club
Frederick Whittock Darby,New Reform Club
Charles Darwin,Athenaeum Club
Erasmus (Ras) Darwin,Athenaeum Club
George Webbe Dasent,Athenaeum Club
William Boyd Dawkins,Athenaeum Club
Walter F Dawson,Arts Club
George Denman,Athenaeum Club
George Dennis,Athenaeum Club
x Devonshire,Athenaeum Club
John jun Dickinson,Athenaeum Club
John Jun Dickinson,Athenaeum Club
John Langdon H Down,Athenaeum Club
Samuel Duckworth,Athenaeum Club
William Duckworth,Athenaeum Club
David Duncan,Athenaeum Club
Peter Martin Duncan,Athenaeum Club
Francis Egerton,Athenaeum Club
Mountstuart Elphinstone,Athenaeum Club
John E Erichsen,Athenaeum Club
William Erle,Athenaeum Club
John Evans,Athenaeum Club
John Evans,Albemarle Burlington Club
William Ewart,United University Club
William Fairbairn,Athenaeum Club
Robert Fitzroy,Athenaeum Club
M Foster,Athenaeum Club
Robert Nicholas Fowler,Athenaeum Club
Augustus Wollaston Franks,Athenaeum Club
x Freme,Army & Navy Club
Albert Fytche,Reform Club
Douglas Galton,Athenaeum Club
Francis Galton,Athenaeum Club
Francis Galton,Alpine Club
John Gardiner,Reform Club
William H Garrett,Arundel Club
Thomas B Gascoyne,Athenaeum Club
John Peter Gassiot,Athenaeum Club
Charles Henry Gatty,Athenaeum Club
