"Source","Target"
Arthur William A Beckett,literary
Andrew Mercer Adam,medical
Andrew Mercer Adam,armed services
William Adam,political
William (2) Adams,medical
Louis Agassiz,academic
Louis Agassiz,biologist
Louis Agassiz,geologist
Anastasius Agathides,academic
Augustine Aglio,artist
Joseph Agnew,medical
William Francis Harrison Ainsworth,medical
William Francis Harrison Ainsworth,academic
William Baird Airston,medical
Alexander Muirhead Aitken,legal
Thomas Aitken,medical
Rutherford Alcock,diplomacy
William Aldam,political
J  McGrigor Allan,literary
S  Stafford Allen,civil engineer
William Allen,armed services
William Amhurst Tyssen Amhurst,political
William Amhurst Tyssen Amhurst,collector
George Amner,business
Edward C Anderson,medical
John Anderson,medical
John Anderson,armed services
Joseph Anderson,educator
Joseph Anderson,archaeologist
Joseph Anderson,museum work
Joseph Anderson,editor
Thomas Chisholm Anstey,legal
Thomas Chisholm Anstey,political
x Antrim,aristocracy
William Appleyard,church
Frederick Scott Archer,inventor
Frederick Scott Archer,photographer
Richard Edward Arden,legal
William Armitage,business
William Armstrong,business
William Armstrong,aristocracy
Richard Arnold,medical
William Arthur,church
William Arthur,literary
Isidore Ascher,literary
Isidore Ascher,poet
Charles Frederick Ash,business
James Ashbury,political
William Henry Ashurst,legal
Henry Ashworth,business
William Aspull,music
John Atcherley,medical
Alois Auer,inventor
Charles Cardale Babington,academic
Charles Cardale Babington,botanist
Charles Cardale Babington,archaeologist
Edward Backhouse,church
Edward Backhouse,business
James (1) Backhouse,church
James (1) Backhouse,academic
Carl Ernst von Baer,academic
Carl Ernst von Baer,explorer
Walter ('Badgett') Bagehot,business
Walter ('Badgett') Bagehot,literary
John Bailey,administrative
Thomas Baines,explorer
Thomas Baines,artist
Benson Baker,medical
J P Baker,medical
John Baker,political
Samuel C Baker,explorer
Samuel C Baker,administrative
George Balfour,armed services
George Balfour,political
John Bannister,church
Henry Barber,medical
Robert Baring,armed services
Christopher J Barnard,armed services
Henry Thorowgood Barnes,business
John  Wheeldon Barnes,banker
Robert Barnewall,armed services
Joseph Henry Barr,medical
William Roby Barr,business
George William Barrington,aristocracy
George William Barrington,political
George William Barrington,armed services
C M Barter,medical
Alfred Barton,medical
John Stothert Bartrum,medical
Adolf Bastian,academic
Adolf Bastian,museum work
Thomas Bateman,archaeologist
Thomas Bateman,antiquarian
Ernest Bates,architect
Ernest Bates,civil engineer
William Battye,medical
Edwin Henry Baverstock,business
