"Name","birth_year","death_year"
Arthur William A Beckett,1844,1909
Andrew Mercer Adam,NA,NA
H R Adam,NA,NA
William Adam,NA,NA
Henry John Adams,NA,NA
William (1) Adams,NA,NA
William (2) Adams,1820,1900
William Adlam,NA,NA
Louis Agassiz,1807,1873
Anastasius Agathides,1805,1881
Augustine Aglio,1777,1857
Joseph Agnew,NA,NA
William Francis Harrison Ainsworth,1807,1896
William Baird Airston,NA,NA
Alexander Muirhead Aitken,NA,NA
Thomas Aitken,NA,NA
Rutherford Alcock,1809,1897
William Aldam,1813,1890
Frederick W Aley,NA,NA
J  McGrigor Allan,NA,NA
S  Stafford Allen,1840,1870
William Allen,NA,NA
George Allin,NA,NA
Charles Hamond Alpe,1837,1882
Crewe Alston,1828,1901
William Amhurst Tyssen Amhurst,1835,1909
George Amner,1873,1901
Edward C Anderson,NA,NA
John Anderson,NA,NA
Joseph Anderson,1832,1916
W  P Andrew,NA,NA
x Andrews,NA,NA
Matthew John Anketell,NA,NA
Thomas Chisholm Anstey,1816,1873
x Antrim,1851,1918
William Appleyard,NA,NA
William Arbuthnot,NA,NA
Frederick Scott Archer,1813,1857
Richard Edward Arden,1804,1894
Alexander Aria,NA,NA
William Armitage,1815,1903
T  B Armitstead,NA,NA
William Armstrong,1810,1900
Edward Arnold,NA,1872
Richard Arnold,1808,1876
William Arthur,1819,1901
Rodolph Arundell,1837,1877
Isidore Ascher,1835,1933
Charles Frederick Ash,NA,NA
James Ashbury,1834,1895
John Ashbury,NA,NA
William Henry Ashurst,1819,1879
Henry Ashworth,1794,1880
William Aspull,NA,NA
John Atcherley,NA,NA
Charles Atkins,NA,NA
Charles A Atkins,NA,NA
E Atkinson,NA,NA
George Atkinson,NA,NA
Alfred Aubert,NA,NA
Alois Auer,1813,1869
Arthur Daniel Aulton,1828,1889
Charles Cardale Babington,1808,1895
William Babington,NA,NA
Edward Backhouse,1808,1879
James (1) Backhouse,1794,1869
Carl Ernst von Baer,1792,1876
John Bagehot,NA,NA
Walter ('Badgett') Bagehot,1826,1877
Charles Henry Bagnall,NA,1869
Charles Stuart Bailey,1819,1883
John Bailey,NA,NA
John Bailey (2),NA,NA
James Bain,1818,1898
Thomas Baines,1820,1875
Benson Baker,NA,NA
J P Baker,NA,NA
John Baker,1813,1872
Samuel C Baker,1821,1893
William Bailey Baker,1828,1865
George Balfour,1809,1894
John Bannister,NA,NA
Henry Barber,NA,NA
Robert Baring,NA,NA
Henry Walter Barlow,1830,1867
Christopher J Barnard,NA,NA
Henry Thorowgood Barnes,NA,NA
John  Wheeldon Barnes,1825,1893
Robert Barnewall,NA,NA
Joseph Henry Barr,NA,NA
William Roby Barr,1832,NA
Thomas Squire Barrett,NA,NA
George William Barrington,1824,1886
C M Barter,NA,NA
William Edward Bartlett,1836,1908
Alfred Barton,1825,1905
John Stothert Bartrum,1817,1904
Adolf Bastian,1826,1905
Thomas Bateman,1821,1861
Ernest Bates,NA,NA
William Battye,NA,NA
Edwin Henry Baverstock,NA,NA
James Bainbridge Baxter,NA,NA
Thomas Henry Baylis,1817,1908
Samuel Beal,1825,1889
John S Beale,NA,NA
Lionel John Beale,1796,1871
Frank Carr Beard,NA,NA
Amos Beardsley,NA,NA
William Beattie,1793,1875
Richard Beaumont,NA,NA
Hugh J C Beavan,NA,NA
R C Beavan,NA,NA
Alfred Becquet,NA,NA
x Beechey,1796,1856
Hermann Beigel,1830,1879
C W  Bowdler Bell,1839,NA
James Bell,1818,1872
John Bell (2),1811,1895
Robert Bell,NA,NA
William Abraham Bell,1841,1921
Edward Bellamy,1837,1889
Henry Walter Bellew,1834,1892
William Painter Belliss,NA,NA
D Bellock,NA,NA
Lewis F Bellot,NA,NA
Adolph Bendir,1834,NA
Thomas Bendyshe,1827,1886
Charles Bennett,NA,NA
John Bennett,1814,1897
Thomas John Wesley Bennett,NA,NA
W F G Benson,NA,NA
William Ralph Benson,NA,NA
Richard Bentley,1794,1871
Bartholomew Bernasconi,NA,NA
George Bertram,NA,NA
Camille Bertrand,NA,1863
x Best,NA,NA
John Henry Biddles,1821,1903
Thomas Bigg,NA,NA
John Bilderbeck,NA,NA
Theodor Bilharz,1825,1862
Henry Corles Bingham,1801,1868
James Bird,NA,NA
R S Birkbeck,NA,NA
James Bischoff,NA,NA
Andrew Black,1851,1916
W H Black,NA,NA
William Blackmore,1827,1878
Alan Cornwall Blackstone,1833,1899
J H Blackwell,NA,NA
T A Blakely,1827,1868
Henry Jules Blanc,NA,NA
Sydney L Blanchard,NA,NA
Albert Taylor Bledsoe,1809,1877
David Blellock,NA,NA
John Hillier Blount,1822,1866
Frederick Edmund Blyth,1819,1868
Henry S Boase,NA,NA
Anatoly Petrovich Bogdanoff,1834,1896
Edward B Bogg,NA,NA
Henry George Bohn,1796,1884
John Peter Boileau,1794,1869
Henry James Bolding,NA,1888
Charles W Bollaert,NA,NA
William Bollaert,1807,1876
Louis Lucien Bonaparte,1813,1891
E Bonavia,NA,NA
George Bonavia,1818,1901
Charles Radcliffe Bond,NA,NA
Walter M Bond,NA,NA
George Bonham,1803,1863
W C Bonnerjee,1844,1906
T  George Bonney,1833,1923
Evert Julius Bonsdorff,1810,1898
James Bonsor,NA,1881
James Bonwick,1817,1906
Charles Booth,1840,1916
W W Boreham,1804,1887
Cunningham Borthwick,1813,1885
Joseph Bosworth,1788,1876
Beriah Botfield,1807,1863
x Boucher de Crevecoeur de Perthes,1788,1868
x Boudin,1806,1867
George Boulton,NA,NA
Brasseur de Bourbourg,1814,1874
x Bourien,NA,NA
Philip Bourjeaurd,NA,NA
Sydney Edward Bouverie Bouverie-Pusey,1839,1911
Frederick Bower,NA,NA
Robert Bowie,NA,NA
Thomas William Bowman,NA,1893
John Bowring,1792,1872
William Henry Wentworth Bowyer,1807,1872
William Boxall,1800,1879
William Binnington Boyce,1804,1889
Jacob Boys,1796,1884
Edward William Brabrook,1839,1930
Frederick Braby,1830,1911
Charles Holt Bracebridge,1799,1872
Thomas Braddell,1823,1891
Antonio Brady,1811,1881
James Brady,NA,NA
P A Brady,NA,NA
William Bragge,1823,1884
George M Braggiotti,NA,NA
Thomas Henry Brain,NA,NA
Charles Brainsford,NA,NA
Thomas Brankstone,NA,NA
Frank William Breach,NA,NA
A C Brebner,NA,1873
James Brebner,1793,1874
William Brent Brent,NA,1857
Charles Brett,NA,1878
D J Breuneis,NA,NA
J S Brickwood,NA,NA
Edmund J Bridell,NA,NA
John Briggs,1785,1875
Lindsay Brine,1834,1906
John Brinton,1827,1914
Bernard Edward Brodhurst,1822,1900
Benjamin Collins Brodie,1783,1862
David Brodie,1821,1909
P B Brodie,NA,NA
Frederick Brome,NA,1870
James Brooke,1803,1868
Henry (1) Brookes,NA,NA
Henry (2) Brookes,NA,NA
William Brookes,NA,NA
x Brougham,1778,1868
Charles Cornish Brown,1846,1875
Edward Brown,NA,NA
Edwin Brown,1818,1876
Edwin Ormond Brown,NA,NA
George W  (1) Brown,NA,NA
James Roberts Brown,NA,NA
John Brown,1801,1879
John Allen Brown,1831,1903
John Harcourt Brown,NA,NA
x Brown-Sequard,1817,1894
J  Cave Browne,NA,NA
Thomas Henry Browne,NA,NA
