"Name","birth_year","death_year","religion_1_quaker"
Arthur William A Beckett,1844,1909,NA
Andrew Mercer Adam,NA,NA,NA
H R Adam,NA,NA,NA
William Adam,NA,NA,NA
Henry John Adams,NA,NA,NA
William (1) Adams,NA,NA,NA
William (2) Adams,1820,1900,NA
William Adlam,NA,NA,NA
Louis Agassiz,1807,1873,NA
Anastasius Agathides,1805,1881,NA
Augustine Aglio,1777,1857,NA
Joseph Agnew,NA,NA,NA
William Francis Harrison Ainsworth,1807,1896,NA
William Baird Airston,NA,NA,NA
Alexander Muirhead Aitken,NA,NA,NA
Thomas Aitken,NA,NA,NA
Rutherford Alcock,1809,1897,NA
William Aldam,1813,1890,1
Frederick W Aley,NA,NA,NA
J  McGrigor Allan,NA,NA,NA
S  Stafford Allen,1840,1870,1
William Allen,NA,NA,NA
George Allin,NA,NA,NA
Charles Hamond Alpe,1837,1882,NA
Crewe Alston,1828,1901,NA
William Amhurst Tyssen Amhurst,1835,1909,NA
George Amner,1873,1901,NA
Edward C Anderson,NA,NA,NA
John Anderson,NA,NA,NA
Joseph Anderson,1832,1916,NA
W  P Andrew,NA,NA,NA
x Andrews,NA,NA,NA
Matthew John Anketell,NA,NA,NA
Thomas Chisholm Anstey,1816,1873,NA
x Antrim,1851,1918,NA
William Appleyard,NA,NA,NA
William Arbuthnot,NA,NA,NA
Frederick Scott Archer,1813,1857,NA
Richard Edward Arden,1804,1894,NA
Alexander Aria,NA,NA,NA
William Armitage,1815,1903,NA
T  B Armitstead,NA,NA,NA
William Armstrong,1810,1900,NA
Edward Arnold,NA,1872,NA
Richard Arnold,1808,1876,NA
William Arthur,1819,1901,NA
Rodolph Arundell,1837,1877,NA
Isidore Ascher,1835,1933,NA
Charles Frederick Ash,NA,NA,NA
James Ashbury,1834,1895,NA
John Ashbury,NA,NA,NA
William Henry Ashurst,1819,1879,NA
Henry Ashworth,1794,1880,NA
William Aspull,NA,NA,NA
John Atcherley,NA,NA,NA
Charles Atkins,NA,NA,NA
Charles A Atkins,NA,NA,NA
E Atkinson,NA,NA,NA
George Atkinson,NA,NA,NA
Alfred Aubert,NA,NA,NA
Alois Auer,1813,1869,NA
Arthur Daniel Aulton,1828,1889,NA
Charles Cardale Babington,1808,1895,NA
William Babington,NA,NA,NA
Edward Backhouse,1808,1879,1
James (1) Backhouse,1794,1869,1
Carl Ernst von Baer,1792,1876,NA
John Bagehot,NA,NA,NA
Walter ('Badgett') Bagehot,1826,1877,NA
Charles Henry Bagnall,NA,1869,NA
Charles Stuart Bailey,1819,1883,NA
John Bailey,NA,NA,NA
John Bailey (2),NA,NA,NA
James Bain,1818,1898,NA
Thomas Baines,1820,1875,NA
Benson Baker,NA,NA,NA
J P Baker,NA,NA,NA
John Baker,1813,1872,NA
Samuel C Baker,1821,1893,NA
William Bailey Baker,1828,1865,NA
George Balfour,1809,1894,NA
John Bannister,NA,NA,NA
Henry Barber,NA,NA,NA
Robert Baring,NA,NA,NA
Henry Walter Barlow,1830,1867,NA
Christopher J Barnard,NA,NA,NA
Henry Thorowgood Barnes,NA,NA,NA
John  Wheeldon Barnes,1825,1893,NA
Robert Barnewall,NA,NA,NA
Joseph Henry Barr,NA,NA,NA
William Roby Barr,1832,NA,NA
Thomas Squire Barrett,NA,NA,NA
George William Barrington,1824,1886,NA
C M Barter,NA,NA,NA
William Edward Bartlett,1836,1908,NA
Alfred Barton,1825,1905,NA
John Stothert Bartrum,1817,1904,NA
Adolf Bastian,1826,1905,NA
Thomas Bateman,1821,1861,NA
Ernest Bates,NA,NA,NA
William Battye,NA,NA,NA
Edwin Henry Baverstock,NA,NA,NA
James Bainbridge Baxter,NA,NA,NA
Thomas Henry Baylis,1817,1908,NA
Samuel Beal,1825,1889,NA
John S Beale,NA,NA,NA
Lionel John Beale,1796,1871,NA
Frank Carr Beard,NA,NA,NA
Amos Beardsley,NA,NA,NA
William Beattie,1793,1875,NA
Richard Beaumont,NA,NA,NA
Hugh J C Beavan,NA,NA,NA
R C Beavan,NA,NA,NA
Alfred Becquet,NA,NA,NA
x Beechey,1796,1856,NA
Hermann Beigel,1830,1879,NA
C W  Bowdler Bell,1839,NA,NA
James Bell,1818,1872,1
John Bell (2),1811,1895,NA
Robert Bell,NA,NA,NA
William Abraham Bell,1841,1921,NA
Edward Bellamy,1837,1889,NA
Henry Walter Bellew,1834,1892,NA
William Painter Belliss,NA,NA,NA
D Bellock,NA,NA,NA
Lewis F Bellot,NA,NA,NA
Adolph Bendir,1834,NA,NA
Thomas Bendyshe,1827,1886,NA
Charles Bennett,NA,NA,NA
