"Name","title","gender_id","birth_year","death_year","data_source_id","notes"
Arthur William A Beckett,NA,1,1844,1909,1,"17 King Street, S. James's, S.W. 88 St James's St SW [1866]"
Andrew Mercer Adam,NA,1,NA,NA,1,"Boston, Lincolnshire"
H R Adam,NA,1,NA,NA,1,"Old Calabar, W. Africa"
William Adam,NA,1,NA,NA,1,
Henry John Adams,NA,1,NA,NA,1,"14 Thornhill Square, N. "
William (1) Adams,NA,1,NA,NA,1,
William (2) Adams,NA,1,1820,1900,1,"5 Henrietta Street  Cavendish Square [1862]7 Loudoun Road, St John's Wood NW [1899]"
William Adlam,NA,1,NA,NA,1,"9 Brook Street, Bath [1863]Manor House, Chew .Magna, Somerset.[1864]"
Louis Agassiz,NA,1,1807,1873,1,Cambridge Mass 
Anastasius Agathides,NA,1,1805,1881,1,"28 Kildare Terr. Westbourne Park, W  [A3]1861Athenian  Villa, Ponsonby Road, Roehampton, SW [28 Kildare Terr. Westbourne Park, W crossed out][A6:1] [He lived in 4 Westbourne Grove in 1851]"
Augustine Aglio,NA,1,1777,1857,1,
Joseph Agnew,NA,1,NA,NA,1,"47 Bath St., Glasgow"
William Francis Harrison Ainsworth,NA,1,1807,1896,1,Ravenscourt Villa Hammersmith
William Baird Airston,NA,1,NA,NA,1,"S. Andrew's, Fife. "
Alexander Muirhead Aitken,NA,1,NA,NA,1,"13 St George's Terrace South Kensington [1864]2 Pump Court, Temple [1868]Calcutta [1869]Singapore [1875]"
Thomas Aitken,NA,1,NA,NA,1,"District Lunatic Asylum, Inverness"
Rutherford Alcock,His Excellency Sir,1,1809,1897,1,Japan [1862]China [1868]
William Aldam,NA,1,1813,1890,1,
Frederick W Aley,NA,1,NA,NA,1,"8 Thurloe Place, South Kensington, W. "
J  McGrigor Allan,NA,1,NA,NA,1,"26 Park St., Southampton St., Camberwell S"
S  Stafford Allen,NA,1,1840,1870,1,"2 Paradise Row, Stoke Newington. Alexandria, Egypt"
William Allen,Capt.,1,NA,NA,1,
George Allin,NA,1,NA,NA,1,"14 High Street, St AlbansLancing House, Dalston Lane, E. [A6:2]"
Charles Hamond Alpe,NA,1,1837,1882,1,"37 Montpellier Rd. Peckham [1866]14 Camden Avenue, Peckham SE [1866 15th list]"
Crewe Alston,NA,1,1828,1901,1,"38 Belsize Park, Hampstead"
William Amhurst Tyssen Amhurst,Rt. Hon. Lord,1,1835,1909,1,"Didlington, Brandon, Norfolk [1862]8 Grosvenor Square W and Didlington Hall, Brandon [1894]"
George Amner,NA,1,1873,1901,1,"Reading, Berkshire"
Edward C Anderson,NA,1,NA,NA,1,"3 Tavistock Street, Covent GardenWhite Hart St., Thetford, Norfolk [1866] c/o T.R. Mitchell, MD"
John Anderson,NA,1,NA,NA,1,Ulverstone
Joseph Anderson,NA,1,1832,1916,1,"Wick, Caithness"
W  P Andrew,NA,1,NA,NA,1,
x Andrews,NA,1,NA,NA,1,"5 White Hart Court"
Matthew John Anketell,NA,1,NA,NA,1,"30 Downshire Hill, Hampstead9 Ladbroke Square W "
Thomas Chisholm Anstey,NA,1,1816,1873,1,"[no address given 1862, 63]Middle Temple"
x Antrim,Earl of,1,1851,1918,1,"Christ Church, OxfordGlenarm Castle, Co. Antrim [1872]"
William Appleyard,Revd.,1,NA,NA,1,"[no address in 1862]The Vicarage, Batley Carr, Dewsbury"
William Arbuthnot,NA,1,NA,NA,1,"Oriental Club ['& Hardwick Hall' crossed out in A6, but not in A3]Hardwick Hall, Sedgefield, Ferry Hill [crossed out] Coworth Park, Staines [A6:3]Coworth Park, Staines and Oriental Club [1872.03]"
Frederick Scott Archer,NA,1,1813,1857,1,
Richard Edward Arden,NA,1,1804,1894,1,"Sunbury Park, Middlesex. S.E. "
Alexander Aria,NA,1,NA,NA,1,"8 Randolph Road, Maida Hill"
William Armitage,NA,1,1815,1903,1,"Townfield House, Altrincham.[1864]7 Meal Street, Mosley Street, Manchester [1872]95 Portland Street, Manchester [1879]Townfield House, Altrincham [1888]"
T  B Armitstead,NA,1,NA,NA,1,"Padnoller House, Nether Stowey, Bridgewater [1863][no address given 1865 or in A6]"
William Armstrong,"Rt. Hon. Lord, Sir",1,1810,1900,1,"Athenaeum Club, Pall Mall... 8 Great George Street SW and Cragside, Rothbury, Northumberland"
Edward Arnold,NA,1,NA,1872,1,"11 Prince of Wales Road, Norwich"
Richard Arnold,NA,1,1808,1876,1,"Savannah, Georgia, US"
William Arthur,Revd.,1,1819,1901,1,"Mission House Bishopsgat St Within [1853]26 Camden Grove Kensington [1862]Methodist College, Belfast [1865]Glendun, East Acton [1865]Centenary Hall, Bishopsgate st within [1872]Clapham Common... and Centenary hall, Bishopsgate street within [1875]Clapham  Common [1883]"
Rodolph Arundell,NA,1,1837,1877,1,"Admiralty, Somerset House...14 Montagu Place, Montagu Square."
Isidore Ascher,NA,1,1835,1933,1,"6 Guildhall Chambers, Basingham St[57?] Coleman Street [A6:2]8 Coleman Street [A6:3]"
Charles Frederick Ash,NA,1,NA,NA,1,"20 and 21 Upper Thames Street, E.C. "
James Ashbury,NA,1,1834,1895,1,"9 Sussex Place Hyde Park Gardens "
John Ashbury,NA,1,NA,NA,1,"9 Sussex Place, Hyde Park Gardens, W.[1864]"
William Henry Ashurst,NA,1,1819,1879,1,"28 Norfolk Crescent Hyde Park [1863]7 Prince of Wales terr, Kensington Palace [1868]"
Henry Ashworth,NA,1,1794,1880,1,The Oaks Bolton
William Aspull,NA,1,NA,NA,1,"5 Shaftesbury Road, Bayswater [A3]5 Shrewsbury Road, Bayswater [1866]Drury Lane Theatre, WC [1867]"
John Atcherley,NA,1,NA,NA,1,"22 St James's Road, Liverpool"
Charles Atkins,NA,1,NA,NA,1,"4 Belmont Hill, Lee SE5 Camden Place, High Street, Lewisham [A6:2]"
Charles A Atkins,NA,1,NA,NA,1,"Farnham Royal near Slough, Bucks [1862]"
E Atkinson,NA,1,NA,NA,1,Liverpool
George Atkinson,NA,1,NA,NA,1,"Cottimore, Walton on Thames"
Alfred Aubert,NA,1,NA,NA,1,"Albion Road, Stoke Newington"
Alois Auer,NA,1,1813,1869,1,Vienna
Arthur Daniel Aulton,NA,1,1828,1889,1,Bradford House Walsall [1862]
Charles Cardale Babington,Prof.,1,1808,1895,1,"S. John's College, Cambridge [1865]5 Brookside, Cambridge [1875]"
William Babington,NA,1,NA,NA,1,"Hulk 'Princess Royal', Bonny River, West Coast of Africa[in A6]: 82 Hereford Road, Bayswater W. [1869]... Cameroons River... 17 Fulham Pl, Maida Vale"
Edward Backhouse,NA,1,1808,1879,1,Ashburn Sunderland
James (1) Backhouse,NA,1,1794,1869,1,Blackwell Darlington 
Carl Ernst von Baer,Prof.,1,1792,1876,1,St Petersburg
John Bagehot,NA,1,NA,NA,1,
Walter ('Badgett') Bagehot,NA,1,1826,1877,1,"12 Upper Belgrave street [1868]The Poplars, Wimbledon [1872] Herd's Hill, Langport, Somerset [1875]"
Charles Henry Bagnall,NA,1,NA,1869,1,"Farnham, Surrey"
Charles Stuart Bailey,NA,1,1819,1883,1,"3 Parliament Street SW [A3]Felixstowe, Suffolk... 8a Waterloo Place SW [1866]"
John Bailey,NA,1,NA,NA,1,
John Bailey (2),NA,1,NA,NA,1,Hampton
James Bain,Sir [1879],1,1818,1898,1,"3 Park Terrace, GlasgowMitchell Library, Miller Street, Glasgow [1894]"
Thomas Baines,NA,1,1820,1875,1,"15 Whitehall Place, SW [1865]21 Northumberland St. [1866]"
Benson Baker,NA,1,NA,NA,1,"6 Cross Street, Islington [1865]53 Great James Street, Lower Grove, Marylebone [1866]"
J P Baker,NA,1,NA,NA,1,"6 York Place, Portman Square, W"
John Baker,NA,1,1813,1872,1,"Houchin's Hotel St James's Street [1862]6 York Place, Portman Square, W. [check this, same as J.P.?]"
Samuel C Baker,Pasha Sir,1,1821,1893,1,"13 Arlington Place, NW [1865]34 Chester Terrace, Regent's Park, NW [1866]Hedingham Hall, Bungay [1869][Sometimes spelt Headinham, but actually Hedenham]Egypt c/o Headingham Hall, Bungay [1872]"
William Bailey Baker,NA,1,1828,1865,1,Auckland New Zealand
George Balfour,Lieut. General... Major General Sir,1,1809,1894,1,"6 Cleveland Gardens... and Athenaeum Club, S.W."
John Bannister,Revd.,1,NA,NA,1,
Henry Barber,NA,1,NA,NA,1,Ulverstone
Robert Baring,Capt.,1,NA,NA,1,"11 Berkeley Square"
Henry Walter Barlow,NA,1,1830,1867,1,"Lower Clapton, London NE [1866]55 Eversfield Place, St Leonards on Sea [1867]"
Christopher J Barnard,Capt.,1,NA,NA,1,Sierra Leone
Henry Thorowgood Barnes,NA,1,NA,NA,1,"12 Middleton Road, Camden Road, N."
John  Wheeldon Barnes,NA,1,1825,1893,1,"Market Place Durham...Bank, Durham"
Robert Barnewall,Col.,1,NA,NA,1,
Joseph Henry Barr,NA,1,NA,NA,1,"Ardwick Green, Manchester"
William Roby Barr,NA,1,1832,NA,1,"Park Mills, Stockport"
Thomas Squire Barrett,NA,1,NA,NA,1,"Langley House, Grove Lane, Camberwell [1865]Heswell Park West, Heswell. Chester New Athenaeum Club, 3 Pall Mall East, S.W. 26 Park place, Milton Road, Gravesend [1879]108 Clapham Road, SW [1881]New Athenaeum Club, 26 Suffolk Street, Pall Mall, SW [1888]36 Wansey street, Walworth, SE [1894]Westeria House, High Street, Berkhamstead [1897]Rose Cottage, Millfield Road, Appleton, Widnes [1901]58 Millfield Road, Appleton, Widnes [1915]"
George William Barrington,Rt. Hon. the Viscount,1,1824,1886,1,"19 Hertford Street, Mayfair, W. [1865, 1875 on]20 Cavendish Square W [A6][1869]5 Portman Square, W [A6:2]"
C M Barter,NA,1,NA,NA,1,"27 The Paragon, Bath"
William Edward Bartlett,NA,1,1836,1908,1,"8 King William Street EC [crossed out in A6   this address for Edward Bartlett, possibly same person]6 Bath Place, Kensington [1866]44 St. Mary Abbott's Terrace, Kensington, W [1883]"
Alfred Barton,NA,1,1825,1905,1,"The Green, Hampton Court and Oriental Club, W. "
John Stothert Bartrum,NA,1,1817,1904,1,"41 Gay St, Bath... 13 Gay Street, Bath [1879]"
Adolf Bastian,Prof.,1,1826,1905,1,"Ethnological Museum, Berlin [1869]20 Queen Anne street, Cavendish Square [1879]"
Thomas Bateman,NA,1,1821,1861,1,Lomberdale House Bakewell
Ernest Bates,NA,1,NA,NA,1,"Morecombe House, Grange, Newton in Cartmel... Seymore Grove, Old Trafford, Manchester"
William Battye,NA,1,NA,NA,1,"11 Buckland Terrace, Plymouth20 Oxford Place, Plymouth [A6:1][1869]28 Oxford Place, Plymouth [A6:2][1869]"
