"Name","birth_year","death_year"
William Aldam,1813,1890
S  Stafford Allen,1840,1870
Edward Backhouse,1808,1879
James (1) Backhouse,1794,1869
James Bell,1818,1872
Antonio Brady,1811,1881
William Bull,1828,1902
Charles Buxton,1823,1871
Henry Christy,1810,1865
William Clay,1791,1869
x Collier,NA,NA
Henry Crowley,NA,1887
David Dale,1829,1906
James T J Doyle,NA,NA
Robert Nicholas Fowler,1828,1891
William Fowler,NA,NA
Charles Henry Fox,NA,NA
George Stacey Gibson,1818,1883
John Henry Gurney,1819,1890
Thomas (1) Hodgkin,1798,1866
William Holmes,NA,NA
Jonathan Hutchinson,1828,1913
Joseph Lister,1827,1912
William Horton Lloyd,NA,NA
J Robinson,NA,NA
John Ross,NA,NA
E T Wakefield,NA,NA
James Wilson,NA,NA
William Wilson,1785,1868
William Spicer Wood,NA,1902
Arthur Albright,NA,NA
Rachel Albright,NA,NA
William Albright,NA,NA
William Jun Aldam,NA,NA
Frederick Alexander,NA,NA
Samuel Allen,NA,NA
John Arch,NA,NA
R Arthington,NA,NA
R Jun Arthington,NA,NA
C Ashby,NA,NA
T Jun Ashby,NA,NA
Thomas Ashby,NA,NA
Thomas Jun Ashby,NA,NA
Catherine Backhouse,NA,NA
Jonathan Backhouse,NA,NA
S Baker,NA,NA
Robert Barclay,NA,NA
Richard Barrington,NA,NA
Edward Beck,NA,NA
Eliza Bell,NA,NA
Frederick J Bell,NA,NA
S S Bell,NA,NA
Samuel Bewley,NA,NA
x Biffin,NA,NA
J Binyon,NA,NA
E L Birkbeck,NA,NA
H Birkbeck,NA,NA
W Blaine,NA,NA
Elizabeth Bowley,NA,NA
Henry Brady,NA,NA
Charles L Braithwaite,NA,NA
L Braithwaite,NA,NA
Isaac Brown,NA,NA
Joshua Brown,NA,NA
Lydia Brown,NA,NA
Sarah Burgess,NA,NA
Thomas Burgess,NA,NA
Thomas Fowell Buxton,NA,NA
W Catchpool,NA,NA
x Charleton,NA,NA
Samuel Clark,NA,NA
W Clemes,NA,NA
C Clothier,NA,NA
Joseph Cooper,NA,NA
George Crosfield,NA,NA
Joseph Crosland,NA,NA
A Crowley,NA,NA
A Dale,NA,NA
Elizabeth S Dawes,NA,NA
John Dodshon,NA,NA
Daniel Doncaster,NA,NA
Elizabeth Dyer,NA,NA
R Dymond,NA,NA
William Dyson,NA,NA
A Ellis,NA,NA
Thomas Evans,NA,NA
Ann Everett,NA,NA
Joseph Farden,NA,NA
John Fell,NA,NA
Mary Fell,NA,NA
S H Fisher,NA,NA
Caleb Fletcher,NA,NA
Martha Fletcher,NA,NA
John Ford,NA,NA
George Fox,NA,NA
Henry Fox,NA,NA
Robert Were Fox,NA,NA
x Fox,NA,NA
W Gayner,NA,NA
Joseph Gibbens,NA,NA
Ann Gibson,NA,NA
Francis Gibson,NA,NA
F  E Gibson,NA,NA
W G Gibson,NA,NA
T Gill,NA,NA
J Gillett,NA,NA
John Gillett,NA,NA
J Gilpin,NA,NA
James Gingell,NA,NA
John Good,NA,NA
Josiah Grace,NA,NA
Thomas Graham,NA,NA
John Green,NA,NA
T Gregory,NA,NA
G Grimshaw,NA,NA
x Hadfield,NA,NA
Isaac Hadwen,NA,NA
Robert Harding,NA,NA
Henry Harris,NA,NA
Lydia Harris,NA,NA
Thomas Harvey,NA,NA
George Head,NA,NA
Sarah Head,NA,NA
H Headley,NA,NA
W Hewitson,NA,NA
Charles Hicks,NA,NA
Elizabeth Hills,NA,NA
James Hills,NA,NA
John Hills,NA,NA
Gurney Hoare,NA,NA
Maria Hooper,NA,NA
J Hopkins,NA,NA
Rebecca Hopkins,NA,NA
Mary Horsnail,NA,NA
Elizabeth Howard (2),NA,NA
Elizabeth Howard,NA,NA
Thomas Hughes,NA,NA
Henry Hunt,NA,NA
T Hunt,NA,NA
J Hurnard,NA,NA
John C Isaac,NA,NA
John James,NA,NA
Charles Janson,NA,NA
Samuel Jesper,NA,NA
Benjamin Jowett (2),NA,NA
John Jun Jowett,NA,NA
Robert Jowett (2),NA,NA
John King,NA,NA
Samuel King,NA,NA
Thomas King,NA,NA
Alfred Kitching,NA,NA
C Knight,NA,NA
John Lee,NA,NA
