"Source","Target"
William Spicer Wood,Quaker
William Wilson,Quaker
James Wilson,Quaker
E T Wakefield,Quaker
John Ross,Quaker
J Robinson,Quaker
William Horton Lloyd,Quaker
Joseph Lister,Quaker
Jonathan Hutchinson,Quaker
William Holmes,Quaker
Thomas (1) Hodgkin,Quaker
John Henry Gurney,Quaker
George Stacey Gibson,Quaker
Charles Henry Fox,Quaker
William Fowler,Quaker
Robert Nicholas Fowler,Quaker
James T J Doyle,Quaker
David Dale,Quaker
Henry Crowley,Quaker
x Collier,Quaker
William Clay,Quaker
Henry Christy,Quaker
Charles Buxton,Quaker
William Bull,Quaker
Antonio Brady,Quaker
James Bell,Quaker
James (1) Backhouse,Quaker
Edward Backhouse,Quaker
S  Stafford Allen,Quaker
William Aldam,Quaker
Arthur Albright,Quaker
Rachel Albright,Quaker
William Albright,Quaker
William Jun Aldam,Quaker
Frederick Alexander,Quaker
Samuel Allen,Quaker
John Arch,Quaker
R Arthington,Quaker
R Jun Arthington,Quaker
C Ashby,Quaker
T Jun Ashby,Quaker
Thomas Ashby,Quaker
Thomas Jun Ashby,Quaker
Catherine Backhouse,Quaker
Jonathan Backhouse,Quaker
S Baker,Quaker
Robert Barclay,Quaker
Richard Barrington,Quaker
Edward Beck,Quaker
Eliza Bell,Quaker
Frederick J Bell,Quaker
S S Bell,Quaker
Samuel Bewley,Quaker
x Biffin,Quaker
J Binyon,Quaker
E L Birkbeck,Quaker
H Birkbeck,Quaker
W Blaine,Quaker
Elizabeth Bowley,Quaker
Henry Brady,Quaker
Charles L Braithwaite,Quaker
L Braithwaite,Quaker
Isaac Brown,Quaker
Joshua Brown,Quaker
Lydia Brown,Quaker
Sarah Burgess,Quaker
Thomas Burgess,Quaker
Thomas Fowell Buxton,Quaker
W Catchpool,Quaker
x Charleton,Quaker
Samuel Clark,Quaker
W Clemes,Quaker
C Clothier,Quaker
Joseph Cooper,Quaker
George Crosfield,Quaker
Joseph Crosland,Quaker
A Crowley,Quaker
A Dale,Quaker
Elizabeth S Dawes,Quaker
John Dodshon,Quaker
Daniel Doncaster,Quaker
Elizabeth Dyer,Quaker
R Dymond,Quaker
William Dyson,Quaker
A Ellis,Quaker
Thomas Evans,Quaker
Ann Everett,Quaker
Joseph Farden,Quaker
John Fell,Quaker
Mary Fell,Quaker
S H Fisher,Quaker
Caleb Fletcher,Quaker
Martha Fletcher,Quaker
John Ford,Quaker
George Fox,Quaker
Henry Fox,Quaker
Robert Were Fox,Quaker
x Fox,Quaker
W Gayner,Quaker
Joseph Gibbens,Quaker
Ann Gibson,Quaker
Francis Gibson,Quaker
F  E Gibson,Quaker
W G Gibson,Quaker
T Gill,Quaker
J Gillett,Quaker
John Gillett,Quaker
J Gilpin,Quaker
James Gingell,Quaker
John Good,Quaker
Josiah Grace,Quaker
Thomas Graham,Quaker
John Green,Quaker
T Gregory,Quaker
G Grimshaw,Quaker
x Hadfield,Quaker
Isaac Hadwen,Quaker
Robert Harding,Quaker
Henry Harris,Quaker
Lydia Harris,Quaker
Thomas Harvey,Quaker
George Head,Quaker
Sarah Head,Quaker
H Headley,Quaker
W Hewitson,Quaker
Charles Hicks,Quaker
Elizabeth Hills,Quaker
James Hills,Quaker
John Hills,Quaker
Gurney Hoare,Quaker
Maria Hooper,Quaker
J Hopkins,Quaker
Rebecca Hopkins,Quaker
Mary Horsnail,Quaker
Elizabeth Howard (2),Quaker
Elizabeth Howard,Quaker
Thomas Hughes,Quaker
Henry Hunt,Quaker
T Hunt,Quaker
J Hurnard,Quaker
John C Isaac,Quaker
John James,Quaker
Charles Janson,Quaker
Samuel Jesper,Quaker
Benjamin Jowett (2),Quaker
John Jun Jowett,Quaker
Robert Jowett (2),Quaker
John King,Quaker
Samuel King,Quaker
Thomas King,Quaker
Alfred Kitching,Quaker
C Knight,Quaker
John Lee,Quaker
x Leitch,Quaker
Thomas Letchmore,Quaker
Thomas x Jun Letchmore,Quaker
Thomas Letchworth,Quaker
Thomas Jun Letchworth,Quaker
Thomas x Jun Letchworth,Quaker
S Lloyd,Quaker
Edward Lucas,Quaker
Rebecca Lucas,Quaker
Thomas Marriage,Quaker
John Marsh,Quaker
R Marsh,Quaker
William Matthews,Quaker
William Mattravers,Quaker
D Miller,Quaker
John Morrison,Quaker
E Neave,Quaker
Mary Overend,Quaker
W J Palmer,Quaker
J Pears,Quaker
Edward Priestman (2),Quaker
John Priestman,Quaker
James Ransome,Quaker
Robert Ransome,Quaker
William Rathbone,Quaker
J Jun Read,Quaker
Edward Richardson,Quaker
Henry Richardson,Quaker
W Richardson,Quaker
R M Rickman,Quaker
S Rickman,Quaker
J Rooke,Quaker
Alfred Rosling,Quaker
John S Rowntree,Quaker
Joseph Rowntree,Quaker
Samuel Rundall,Quaker
Henry Russell,Quaker
Joseph Sams,Quaker
J A Sanders,Quaker
Mary Sansom,Quaker
Micheal Scatterthwaite,Quaker
S Scatterthwaite,Quaker
Benjamin Seebohm,Quaker
William Seebohm,Quaker
Charles Sessions,Quaker
Robert Simpson,Quaker
Alfred Smith,Quaker
Edward Smith,Quaker
Richard Smith,Quaker
Ann Snowden,Quaker
C Southall,Quaker
William Southall,Quaker
William Sparkes,Quaker
Joseph F Spence,Quaker
L Squire,Quaker
Mary Steevens,Quaker
Henry Sterry,Quaker
Richard Sterry,Quaker
John Stevens,Quaker
Joseph Sturge (Mrs),Quaker
Sarah Styles,Quaker
George N Tatham,Quaker
Mary Ann Tatham,Quaker
Edward Taylor,Quaker
F Taylor,Quaker
H Taylor,Quaker
A Thistlethwaite,Quaker
F J Thompson,Quaker
Josiah Thompson,Quaker
Thomas Thompson,Quaker
