"Source","Target"
William (2) Adams,Royal College of Surgeons
William (2) Adams,Pathological Society of London
William (2) Adams,Medical Society of London
William (2) Adams,Medical and Chirurgical Society of London
William Adlam,Somersetshire Archaeological and Natural History Society
William Francis Harrison Ainsworth,Royal Geographical Society
William Francis Harrison Ainsworth,Society of Antiquaries
William Francis Harrison Ainsworth,Syro Egyptian Society
William Francis Harrison Ainsworth,Geological Society
William Baird Airston,Royal College of Surgeons
Thomas Aitken,Anthropological Society of Paris
Thomas Aitken,Medico Psychological Association
Frederick W Aley,"Society for the Encouragement of Arts, Manufactures and Commerce"
William Amhurst Tyssen Amhurst,Society of Antiquaries
William Amhurst Tyssen Amhurst,Royal Society of Literature
Edward C Anderson,Royal College of Surgeons
John Anderson,Linnean Society of London
Joseph Anderson,Society of Antiquaries of Scotland
Richard Edward Arden,Royal Geographical Society
Richard Edward Arden,Geological Society
Richard Edward Arden,Ornithological Society
Richard Edward Arden,Acclimatisation Society
William Armitage,Association for the Protection of Homeopathic Students and Practitioners
William Armstrong,Royal Society
Edward Arnold,Phrenological Society
Edward Arnold,Chemical Society
Richard Arnold,American Medical Association
Richard Arnold,Georgia Historical Society
William Arthur,Royal Asiatic Society
Henry Ashworth,"Society for the Encouragement of Arts, Manufactures and Commerce"
John Atcherley,Royal College of Physicians
George Atkinson,Surrey Archaeological Society
Charles Cardale Babington,Royal Society
Charles Cardale Babington,Society of Antiquaries
Charles Cardale Babington,Linnean Society of London
Charles Cardale Babington,Geological Society
Charles Cardale Babington,Cambridge Philosophical Society
Charles Cardale Babington,Somersetshire Archaeological and Natural History Society
William Babington,Royal Geographical Society
Carl Ernst von Baer,Anthropological Society of Paris
Carl Ernst von Baer,Russian Geographical Society
Carl Ernst von Baer,Russian Entomological Society
Benson Baker,Royal College of Physicians
Benson Baker,Royal College of Surgeons Edinburgh
J P Baker,Royal College of Surgeons
Samuel C Baker,Royal Society
Samuel C Baker,Royal Geographical Society
George Balfour,Royal Geographical Society
Henry Barber,Royal College of Physicians
John  Wheeldon Barnes,Society of Antiquaries
Joseph Henry Barr,Royal College of Surgeons
William Roby Barr,Geological Society
Thomas Squire Barrett,Zoological Society
Thomas Squire Barrett,Statistical Society
Thomas Squire Barrett,Royal Historical Society
Thomas Squire Barrett,Royal Society of British Sculptors
George William Barrington,Royal Geographical Society
George William Barrington,Geological Society
William Edward Bartlett,Society of Antiquaries
Alfred Barton,Royal Geographical Society
John Stothert Bartrum,Royal College of Surgeons
William Battye,Royal College of Surgeons
William Battye,Royal Horticultural Society of London
Edwin Henry Baverstock,Royal Society of Literature
James Bainbridge Baxter,Royal College of Surgeons
James Bainbridge Baxter,Society of Antiquaries
Samuel Beal,Royal Asiatic Society
Lionel John Beale,Royal College of Surgeons
Lionel John Beale,Royal Society of Literature
Amos Beardsley,Linnean Society of London
Amos Beardsley,Geological Society
William Beattie,British Archaeological Society
William Beattie,Historical Institute
William Beattie,Biblical Archaeological Society
William Beattie,Institut d'Afrique a Paris
William Beattie,Royal College of Physicians
Richard Beaumont,Royal Society
Hugh J C Beavan,Royal Geographical Society
x Beechey,Royal Society
Hermann Beigel,Royal College of Physicians
Hermann Beigel,Imperial Academy of Dresden
James Bell,Royal Institute of British Architects
John Bell (2),"Society for the Encouragement of Arts, Manufactures and Commerce"
Edward Bellamy,Royal Geographical Society
Henry Walter Bellew,Royal College of Surgeons
John Bennett,Royal Asiatic Society
x Best,"Society for the Encouragement of Arts, Manufactures and Commerce"
John Bilderbeck,Royal College of Surgeons
James Bischoff,Zoological Society
James Bischoff,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
Andrew Black,Royal Scottish Society of Painters in Water Colours
Alan Cornwall Blackstone,Royal Geographical Society
T A Blakely,Royal Society
T A Blakely,British Association
T A Blakely,Royal Irish Academy
T A Blakely,Society of Engineers
T A Blakely,Royal United Service Institution
Henry Jules Blanc,Royal College of Surgeons Edinburgh
Henry S Boase,Royal Society
Henry S Boase,Geological Society
Anatoly Petrovich Bogdanoff,Anthropological Society of Moscow
Henry George Bohn,Royal Geographical Society
Henry George Bohn,Royal Astronomical Society
Henry George Bohn,Royal Society of Literature
Henry George Bohn,Linnean Society of London
William Bollaert,Royal Geographical Society
William Bollaert,"Ethnological Society, New York"
Charles Radcliffe Bond,Royal College of Surgeons
W C Bonnerjee,Geological Society
T  George Bonney,Geological Society
T  George Bonney,Royal Society
James Bonsor,"Society for the Encouragement of Arts, Manufactures and Commerce"
James Bonwick,Royal Geographical Society
W W Boreham,Royal Astronomical Society
Cunningham Borthwick,Society of Antiquaries
Joseph Bosworth,Royal Society
Joseph Bosworth,Society of Antiquaries of Literature
Joseph Bosworth,Royal Institute of the Netherlands
Beriah Botfield,Royal Society
Beriah Botfield,Society of Antiquaries
Beriah Botfield,British Archaeological Association
Beriah Botfield,"Society for the Encouragement of Arts, Manufactures and Commerce"
x Boucher de Crevecoeur de Perthes,Anthropological Society of Paris
x Boucher de Crevecoeur de Perthes,Geological Society
George Boulton,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
Sydney Edward Bouverie Bouverie-Pusey,Royal Geographical Society
Sydney Edward Bouverie Bouverie-Pusey,Folklore Society
Thomas William Bowman,Royal Society of Literature
John Bowring,"Society for the Encouragement of Arts, Manufactures and Commerce"
William Binnington Boyce,Royal Geographical Society
William Binnington Boyce,Weslyan Mission Society
Edward William Brabrook,Anthropological Society of Paris
Edward William Brabrook,Society of Antiquaries
Edward William Brabrook,Royal Society of Northern Antiquities Copenhagen
Edward William Brabrook,Folklore Society
Edward William Brabrook,London and Middlesex Archaeological Association
Edward William Brabrook,Statistical Society
Edward William Brabrook,Royal Society of Literature
Frederick Braby,Chemical Society
Frederick Braby,Geological Society
